p,q
1e-05,1.42153e-05
5e-05,4.73844e-05
0.0001,0.0001563686
0.0003,0.0003601216
0.0006,0.0006728588
0.0009,0.0011040571
0.001,0.0012083028
0.003,0.0035964778
0.006,0.006918126
0.009,0.0105714652
0.01,0.0113627851
0.03,0.035178197
0.06,0.0709486992
0.09,0.100502365
0.1,0.1138647727
0.2,0.2282649895
0.3,0.3378035643
0.4,0.4420966832
0.5,0.5494697897
0.6,0.6475934566
0.7,0.7315112729
0.8,0.8391497322
0.9,0.9422250714
1.0,1.0447507513
3.0,2.6595219174
5.0,4.0207248112
10.0,7.0054981587
20.0,11.4374818694
30.0,14.817123844
