p,q
1e-05,8.7588e-06
5e-05,5.2553e-05
0.0001,0.0001029163
0.0003,0.0003043696
0.0006,0.0007510703
0.0009,0.0010948547
0.001,0.0010795267
0.003,0.0034509819
0.006,0.0070421051
0.009,0.0106091416
0.01,0.0113645913
0.03,0.0344791628
0.06,0.0684196571
0.09,0.1018346211
0.1,0.1116576571
0.2,0.2210708622
0.3,0.3233324766
0.4,0.4192921077
0.5,0.504975433
0.6,0.5870501173
0.7,0.669039403
0.8,0.7496842072
0.9,0.803334275
1.0,0.8781588318
3.0,1.7938689885
5.0,2.2942109966
10.0,2.9518682906
20.0,3.5640694091
30.0,3.8247017494
