p,q
1e-05,0.0001301272
5e-05,0.0005352401
0.0001,0.001058204
0.0003,0.0032850974
0.0006,0.0067887101
0.0009,0.0101621958
0.001,0.0112768701
0.003,0.0343093799
0.006,0.0652305429
0.009,0.0982533825
0.01,0.1104607846
0.03,0.3094276897
0.06,0.5428954827
0.09,0.7336422788
0.1,0.7894692919
0.2,1.1821611867
0.3,1.426181557
0.4,1.6082319294
0.5,1.7581949048
0.6,1.861223709
0.7,1.968738218
0.8,2.0548824075
0.9,2.1085021691
1.0,2.1625294989
3.0,2.7180645041
5.0,2.9037265194
10.0,3.1898123403
20.0,3.376579209
30.0,3.4595119581
