p,q
1e-05,0.0001222146
5e-05,0.0007493682
0.0001,0.0015469789
0.0003,0.0042196182
0.0006,0.0086836656
0.0009,0.0129386617
0.001,0.0144213172
0.003,0.042746148
0.006,0.0839903434
0.009,0.1289942444
0.01,0.1391348361
0.03,0.4140500406
0.06,0.7971926639
0.09,1.1249174199
0.1,1.2379916107
0.2,2.0413593258
0.3,2.607926696
0.4,2.9223654436
0.5,3.172493607
0.6,3.3957345688
0.7,3.5255939636
0.8,3.6465992357
0.9,3.7799031512
1.0,3.8483079229
3.0,4.6095051848
5.0,4.874363418
10.0,5.2398267415
20.0,5.6109569607
30.0,5.7941951696
