p,q
1e-05,7.3867e-06
5e-05,3.50868e-05
0.0001,6.2787e-05
0.0003,0.0001957476
0.0006,0.0003970353
0.0009,0.0005078358
0.001,0.0005890896
0.003,0.0017284885
0.006,0.003577011
0.009,0.00538306
0.01,0.0058096421
0.03,0.0176726874
0.06,0.0364940072
0.09,0.0545138696
0.1,0.0598692295
0.2,0.118331292
0.3,0.1766382337
0.4,0.2310782363
0.5,0.2913001808
0.6,0.3468057154
0.7,0.4001912661
0.8,0.4524983582
0.9,0.5090251044
1.0,0.5549002247
3.0,1.4135490718
5.0,2.0961672415
10.0,3.1874861595
20.0,4.3156185596
30.0,4.9224546945
