p,q
1e-05,2.21601e-05
5e-05,0.0001828209
0.0001,0.0003896486
0.0003,0.0010378318
0.0006,0.0021089038
0.0009,0.0032169092
0.001,0.0034625171
0.003,0.0107642732
0.006,0.0216024135
0.009,0.0319751915
0.01,0.0350443667
0.03,0.1042393089
0.06,0.2045544318
0.09,0.3103394084
0.1,0.3409314397
0.2,0.6583934766
0.3,0.9485985787
0.4,1.2284032027
0.5,1.4845537563
0.6,1.7375206409
0.7,1.9894183002
0.8,2.1919303085
0.9,2.3754400229
1.0,2.5472639728
3.0,4.3554107297
5.0,4.9795686836
10.0,5.6688071861
20.0,6.2122949544
30.0,6.4666025256
