p,q
1e-05,3.4408e-06
5e-05,3.4408e-06
0.0001,8.6021e-06
0.0003,2.9247e-05
0.0006,7.05369e-05
0.0009,9.80636e-05
0.001,0.0001238697
0.003,0.0003716092
0.006,0.0007690247
0.009,0.001119989
0.01,0.0011733218
0.03,0.0034459876
0.06,0.0068145565
0.09,0.0101297927
0.1,0.0113581677
0.2,0.022872893
0.3,0.0341209543
0.4,0.0464614779
0.5,0.0579968481
0.6,0.0693773812
0.7,0.0810761907
0.8,0.0901771764
0.9,0.1001538523
1.0,0.1134629685
3.0,0.3215813489
5.0,0.5129497867
10.0,0.8718417359
20.0,1.4125417869
30.0,1.7772848612
