p,q
1e-05,5.3271e-06
5e-05,2.3084e-05
0.0001,5.50465e-05
0.0003,0.000220186
0.0006,0.0004101853
0.0009,0.0007528941
0.001,0.0008399031
0.003,0.0022196172
0.006,0.0046239065
0.009,0.0069269813
0.01,0.0077881928
0.03,0.0232207471
0.06,0.0453831808
0.09,0.06755982
0.1,0.0759002535
0.2,0.1460845489
0.3,0.2146440845
0.4,0.2821861475
0.5,0.3465976625
0.6,0.3994618411
0.7,0.4614015904
0.8,0.5107712036
0.9,0.5665492956
1.0,0.619907117
3.0,1.3408423297
5.0,1.7878625764
10.0,2.4382796634
20.0,3.0548733359
30.0,3.3657227319
