p,q
1e-05,5.85979e-05
5e-05,0.0003054193
0.0001,0.0006765393
0.0003,0.0019390576
0.0006,0.0038923207
0.0009,0.0057141825
0.001,0.0064724037
0.003,0.0192005765
0.006,0.0381134906
0.009,0.0573193942
0.01,0.0614105926
0.03,0.1788869395
0.06,0.3384205928
0.09,0.4927141739
0.1,0.5274698276
0.2,0.8942216141
0.3,1.1443600409
0.4,1.358780388
0.5,1.5274997051
0.6,1.6720429518
0.7,1.7801773739
0.8,1.881029676
0.9,1.9766791954
1.0,2.0478294681
3.0,2.8266736053
5.0,3.1570520812
10.0,3.591622939
20.0,3.9007072954
30.0,4.0444603584
