p,q
1e-05,6.1586e-06
5e-05,1.23171e-05
0.0001,2.46342e-05
0.0003,8.62198e-05
0.0006,0.0001724396
0.0009,0.0002155495
0.001,0.0002401837
0.003,0.0007267097
0.006,0.0016997617
0.009,0.0022725075
0.01,0.0024079957
0.03,0.0076550861
0.06,0.0155503559
0.09,0.0230514781
0.1,0.0264140501
0.2,0.0516148646
0.3,0.0779488535
0.4,0.1018255782
0.5,0.1267862089
0.6,0.1544689217
0.7,0.1761039318
0.8,0.2034356069
0.9,0.228975142
1.0,0.2496186244
3.0,0.7490714226
5.0,1.2328753279
10.0,2.3750659069
20.0,4.4365812113
30.0,6.3028764235
