p,q
1e-05,6.7026e-06
5e-05,6.70263e-05
0.0001,0.0001005395
0.0003,0.0002904474
0.0006,0.0005451474
0.0009,0.0007663342
0.001,0.000880279
0.003,0.0026117922
0.006,0.0052682685
0.009,0.0081302923
0.01,0.0088988607
0.03,0.0265491243
0.06,0.0499390748
0.09,0.0756503701
0.1,0.083999615
0.2,0.156910843
0.3,0.2263925577
0.4,0.2932669486
0.5,0.3531907105
0.6,0.4056365696
0.7,0.4696980894
0.8,0.5076327508
0.9,0.5655434889
1.0,0.6117246215
3.0,1.2399824013
5.0,1.7416743862
10.0,2.6091714345
20.0,3.7589632233
30.0,4.4611577337
