p,q
1e-05,8.26658e-05
5e-05,0.0004513105
0.0001,0.0009897553
0.0003,0.0030072474
0.0006,0.0059541712
0.0009,0.0086106476
0.001,0.0095691239
0.003,0.0297105322
0.006,0.0566461749
0.009,0.0846229598
0.01,0.0882758941
0.03,0.2485134766
0.06,0.3881695113
0.09,0.5047327455
0.1,0.5409023805
0.2,0.7734725304
0.3,0.9293042497
0.4,1.0666724527
0.5,1.1923490319
0.6,1.2939274157
0.7,1.4042728418
0.8,1.5032461362
0.9,1.6305313469
1.0,1.7241045542
3.0,3.087156211
5.0,3.9247170717
10.0,5.0206800251
20.0,5.9511795775
30.0,6.4052918139
