p,q
1e-05,6.9197e-06
5e-05,3.6905e-05
0.0001,9.91821e-05
0.0003,0.000267561
0.0006,0.0005120565
0.0009,0.0008326684
0.001,0.0007819241
0.003,0.0026709973
0.006,0.0053696733
0.009,0.0082782464
0.01,0.0088571931
0.03,0.0268944978
0.06,0.0517730616
0.09,0.0797954676
0.1,0.0877208102
0.2,0.1695460512
0.3,0.2426663321
0.4,0.3127304201
0.5,0.3838117014
0.6,0.4481693582
0.7,0.4988652559
0.8,0.5534523215
0.9,0.6140387516
1.0,0.6450458471
3.0,1.2515213862
5.0,1.5393040457
10.0,1.9279710573
20.0,2.2482508506
30.0,2.4297471928
