p,q
1e-05,0.0001176346
5e-05,0.0005282024
0.0001,0.0009687555
0.0003,0.0028785878
0.0006,0.0058263723
0.0009,0.0086496026
0.001,0.0096460369
0.003,0.0284283607
0.006,0.0591309902
0.009,0.0857809926
0.01,0.0933465117
0.03,0.2651806712
0.06,0.4731863156
0.09,0.6341634937
0.1,0.6989593971
0.2,1.0382244915
0.3,1.2710464226
0.4,1.4218839599
0.5,1.5484241867
0.6,1.6408342348
0.7,1.709232986
0.8,1.7751683303
0.9,1.8002337255
1.0,1.8474028919
3.0,2.1878051208
5.0,2.3188777394
10.0,2.450118737
20.0,2.5645333742
30.0,2.6182208812
