p,q
1e-05,5.52116e-05
5e-05,0.0003716167
0.0001,0.0007602217
0.0003,0.0021957241
0.0006,0.004588936
0.0009,0.0067846601
0.001,0.0074408291
0.003,0.0219678587
0.006,0.0443285693
0.009,0.066122299
0.01,0.072858118
0.03,0.2081287382
0.06,0.3880974209
0.09,0.5531653337
0.1,0.5879635261
0.2,0.9648232565
0.3,1.225369068
0.4,1.4487192283
0.5,1.6203679428
0.6,1.7435068688
0.7,1.8511546851
0.8,1.9564390189
0.9,2.0301274349
1.0,2.1145545132
3.0,2.7787992785
5.0,3.0235333283
10.0,3.3309729264
20.0,3.5402653559
30.0,3.6880010636
