p,q
1e-05,1.79761e-05
5e-05,5.39284e-05
0.0001,9.88688e-05
0.0003,0.000258407
0.0006,0.0005640013
0.0009,0.0008673487
0.001,0.0009190301
0.003,0.0026267632
0.006,0.005208586
0.009,0.0076488467
0.01,0.0086600045
0.03,0.0258496864
0.06,0.0508387653
0.09,0.0780793554
0.1,0.0855394527
0.2,0.1669803458
0.3,0.2506615152
0.4,0.3299048255
0.5,0.4068629193
0.6,0.4807852928
0.7,0.5556222023
0.8,0.6183184776
0.9,0.6887849385
1.0,0.757240319
3.0,1.8334672068
5.0,2.5840091674
10.0,3.7238873127
20.0,4.8955203059
30.0,5.5149712801
