p,q
1e-05,1.11473e-05
5e-05,7.58018e-05
0.0001,0.0001438004
0.0003,0.0004481223
0.0006,0.0008940152
0.0009,0.0013811531
0.001,0.0014257424
0.003,0.0042906039
0.006,0.0088844149
0.009,0.0135183563
0.01,0.0145584014
0.03,0.0438390698
0.06,0.088354782
0.09,0.1341624687
0.1,0.1472393911
0.2,0.296597888
0.3,0.4401686957
0.4,0.5848676124
0.5,0.7301606812
0.6,0.8678769159
0.7,1.0222349863
0.8,1.1853169502
0.9,1.316341448
1.0,1.4661580998
3.0,3.7404468185
5.0,4.9027601568
10.0,6.141253173
20.0,7.1150876057
30.0,7.5810155311
