p,q
1e-05,1.34544e-05
5e-05,5.38177e-05
0.0001,0.0001089808
0.0003,0.0003457787
0.0006,0.0007023209
0.0009,0.0009445005
0.001,0.0012135889
0.003,0.0034510594
0.006,0.006908846
0.009,0.0105940124
0.01,0.0114376047
0.03,0.0347985187
0.06,0.0691960956
0.09,0.1028859699
0.1,0.1123000294
0.2,0.2215660864
0.3,0.3347419987
0.4,0.4372472084
0.5,0.5326753918
0.6,0.6307325694
0.7,0.7056225766
0.8,0.8167251624
0.9,0.9059737295
1.0,0.9793985501
3.0,2.1658458646
5.0,2.7243739296
10.0,3.3554253688
20.0,3.8103220888
30.0,4.0329604927
