p,q
1e-05,1.5967e-06
5e-05,1.1177e-05
0.0001,2.71443e-05
0.0003,8.14328e-05
0.0006,0.0001484951
0.0009,0.0002411049
0.001,0.0002969901
0.003,0.0008111343
0.006,0.0016542031
0.009,0.0024685309
0.01,0.0027495538
0.03,0.0083955597
0.06,0.0166729621
0.09,0.0252473545
0.1,0.0277701739
0.2,0.0550597348
0.3,0.0832466529
0.4,0.1073587387
0.5,0.1372429714
0.6,0.1578071428
0.7,0.1859238052
0.8,0.2175979623
0.9,0.2350660915
1.0,0.2570609251
3.0,0.6476077368
5.0,0.9029601702
10.0,1.3479982839
20.0,1.7336846765
30.0,1.908974319
