p,q
1e-05,1.91396e-05
5e-05,0.0001358908
0.0001,0.0002430723
0.0003,0.0007426146
0.0006,0.0014641757
0.0009,0.0022929182
0.001,0.0024173253
0.003,0.0072806852
0.006,0.0148484637
0.009,0.022379877
0.01,0.025916866
0.03,0.0730939452
0.06,0.1465228326
0.09,0.2200531595
0.1,0.2410109678
0.2,0.4738340358
0.3,0.6701426683
0.4,0.8297799212
0.5,0.9816503443
0.6,1.1436207085
0.7,1.2377949551
0.8,1.3585942312
0.9,1.4084451057
1.0,1.4960659701
3.0,2.0809534225
5.0,2.2217764968
10.0,2.3370597542
20.0,2.3903059851
30.0,2.4133059835
