p,q
1e-05,2.8709e-06
5e-05,1.24407e-05
0.0001,1.72256e-05
0.0003,5.26338e-05
0.0006,0.0001205792
0.0009,0.0001770408
0.001,0.0001980944
0.003,0.0005789714
0.006,0.0012057917
0.009,0.0017799782
0.01,0.0019752017
0.03,0.0058586166
0.06,0.0116875668
0.09,0.017646666
0.1,0.019777855
0.2,0.0385623673
0.3,0.057330611
0.4,0.076980231
0.5,0.0976786984
0.6,0.1118524929
0.7,0.1343491211
0.8,0.1518426707
0.9,0.1723018938
1.0,0.1919161056
3.0,0.5009251132
5.0,0.8070450056
10.0,1.3182710252
20.0,1.9572037847
30.0,2.3558442665
