p,q
1e-05,0.0
5e-05,2.24854e-05
0.0001,3.37282e-05
0.0003,0.0001124272
0.0006,0.0002398448
0.0009,0.0003747575
0.001,0.0003485244
0.003,0.0012366996
0.006,0.0022747778
0.009,0.0034177881
0.01,0.0039499437
0.03,0.0113663939
0.06,0.0232237201
0.09,0.034466444
0.1,0.0381240769
0.2,0.07681029
0.3,0.114166114
0.4,0.1515856469
0.5,0.1889002476
0.6,0.2267807322
0.7,0.2611085159
0.8,0.3000308262
0.9,0.3322337351
1.0,0.3706351325
3.0,0.9940216895
5.0,1.4855086093
10.0,2.40189929
20.0,3.470197909
30.0,4.1010346444
