p,q
1e-05,4.81383e-05
5e-05,0.0002099363
0.0001,0.0003730716
0.0003,0.0012168284
0.0006,0.0021943026
0.0009,0.0035194421
0.001,0.0036665312
0.003,0.0110290115
0.006,0.0232467708
0.009,0.0341968891
0.01,0.038037253
0.03,0.109695073
0.06,0.2026634358
0.09,0.2927020503
0.1,0.3237806495
0.2,0.5879153134
0.3,0.7622346709
0.4,0.9269745136
0.5,1.0679233556
0.6,1.1978846384
0.7,1.3005408272
0.8,1.4191401422
0.9,1.460710209
1.0,1.5516206609
3.0,2.3489815569
5.0,2.6406085193
10.0,3.0597631077
20.0,3.4032162618
30.0,3.5945284271
