p,q
1e-05,1.19996e-05
5e-05,2.79992e-05
0.0001,5.79983e-05
0.0003,0.000165995
0.0006,0.0003839885
0.0009,0.0005599833
0.001,0.000635981
0.003,0.0018859436
0.006,0.0039078832
0.009,0.0055838331
0.01,0.0064718065
0.03,0.0190674301
0.06,0.0379748649
0.09,0.0573182867
0.1,0.063398105
0.2,0.1254402504
0.3,0.1850844676
0.4,0.2469746176
0.5,0.3104447204
0.6,0.369540954
0.7,0.4243673152
0.8,0.484257525
0.9,0.5292741794
1.0,0.5820526018
3.0,1.4650762071
5.0,2.1642913067
10.0,3.2916336091
20.0,4.4403652722
30.0,5.0495510629
