p,q
1e-05,3.0637e-06
5e-05,3.06368e-05
0.0001,5.20826e-05
0.0003,0.0001876504
0.0006,0.0003875555
0.0009,0.0005162301
0.001,0.0006096723
0.003,0.0017953165
0.006,0.0035622939
0.009,0.0052442542
0.01,0.005925157
0.03,0.0178183626
0.06,0.0351427069
0.09,0.0520925162
0.1,0.0579855046
0.2,0.1151744525
0.3,0.1678797047
0.4,0.2215921417
0.5,0.2670456634
0.6,0.3123743402
0.7,0.3548200942
0.8,0.3932868938
0.9,0.4286011668
1.0,0.4757940928
3.0,0.9982932207
5.0,1.2872296433
10.0,1.6641128288
20.0,2.016041575
30.0,2.1884386758
