p,q
1e-05,1.9826e-06
5e-05,7.9304e-06
0.0001,3.37043e-05
0.0003,9.5165e-05
0.0006,0.000226017
0.0009,0.0003548863
0.001,0.0004143644
0.003,0.0010170763
0.006,0.0020420831
0.009,0.0029798552
0.01,0.0033208633
0.03,0.0100339636
0.06,0.0204545352
0.09,0.0303814381
0.1,0.0340631355
0.2,0.0659910055
0.3,0.0975758848
0.4,0.1290794773
0.5,0.160472044
0.6,0.1925327485
0.7,0.2227377348
0.8,0.2482677386
0.9,0.2811056243
1.0,0.3068537146
3.0,0.7930499071
5.0,1.1458980738
10.0,1.8199698757
20.0,2.5952952947
30.0,3.0190037446
