p,q
1e-05,1.38782e-05
5e-05,7.93042e-05
0.0001,0.000180417
0.0003,0.0005828859
0.0006,0.0010844849
0.0009,0.001671336
0.001,0.0018795095
0.003,0.0055037113
0.006,0.0109400141
0.009,0.0162771866
0.01,0.0186919994
0.03,0.0548150614
0.06,0.1074274488
0.09,0.157099633
0.1,0.1785791749
0.2,0.3402606079
0.3,0.4984605866
0.4,0.6108227391
0.5,0.7422615163
0.6,0.8494431221
0.7,0.9434483354
0.8,1.0424318697
0.9,1.1424780803
1.0,1.2175533816
3.0,2.3159026411
5.0,2.8514617314
10.0,3.5418880415
20.0,4.0827525826
30.0,4.3356179821
