p,q
1e-05,0.0
5e-05,1.58608e-05
0.0001,3.56869e-05
0.0003,8.92172e-05
0.0006,0.0002200691
0.0009,0.0002954081
0.001,0.0003429907
0.003,0.0010051807
0.006,0.0021550916
0.009,0.0031483766
0.01,0.0033109503
0.03,0.0101390417
0.06,0.0207638216
0.09,0.0305360813
0.1,0.0342752742
0.2,0.0686794178
0.3,0.1012020692
0.4,0.1352592569
0.5,0.1626767007
0.6,0.1937917026
0.7,0.2254876078
0.8,0.255226682
0.9,0.2846128524
1.0,0.3101507867
3.0,0.7842511064
5.0,1.129210488
10.0,1.7225724254
20.0,2.46319631
30.0,2.8831675496
