p,q
1e-05,1.18956e-05
5e-05,0.0001169737
0.0001,0.0002022257
0.0003,0.0006165901
0.0006,0.0011657717
0.0009,0.0019052833
0.001,0.0021134569
0.003,0.0060310842
0.006,0.0118123602
0.009,0.0185254606
0.01,0.0203554049
0.03,0.0585245153
0.06,0.1155858681
0.09,0.1733827674
0.1,0.1865016643
0.2,0.3577293401
0.3,0.5133380541
0.4,0.6437339811
0.5,0.7481657138
0.6,0.8584441485
0.7,0.949477437
0.8,1.0342595721
0.9,1.1008532895
1.0,1.1922097426
3.0,2.1141468144
5.0,2.6046214683
10.0,3.2147542609
20.0,3.7822729429
30.0,4.0914522531
