p,q
1e-05,0.0001007715
5e-05,0.0005007082
0.0001,0.0010140128
0.0003,0.0029885034
0.0006,0.0060777783
0.0009,0.009453622
0.001,0.0103133285
0.003,0.0306061799
0.006,0.0618358832
0.009,0.0898314526
0.01,0.0997385462
0.03,0.2958555404
0.06,0.5628054191
0.09,0.7782138485
0.1,0.8393947172
0.2,1.3995328419
0.3,1.7620203569
0.4,2.0564745442
0.5,2.27256633
0.6,2.4324622849
0.7,2.5647657561
0.8,2.6805395598
0.9,2.7828288834
1.0,2.8665353211
3.0,3.5449539395
5.0,3.811985695
10.0,4.0634451119
20.0,4.2776348365
30.0,4.380796463
