struc_name,E_LJ_single,E_LJ_two
type0_15,-27.68587035828955,-27.68710980996252
type0_16,-22.69527040661319,-22.68914534759267
type0_17,-18.795585267275897,-18.78362063323334
type0_18,-15.708732623137962,-15.692176731375298
type0_19,-13.236952647609769,-13.216825902251912
type0_20,-11.23708803040006,-11.21422341047628
type0_21,-9.603840245369838,-9.578916796281078
type0_22,-8.258632782919676,-8.232203223661827
type0_23,-7.142058072809732,-7.1145714980924595
type0_24,-6.208663282323073,-6.180483801746959
type0_25,-5.423291977561917,-5.394714004710977
type0_26,-4.758479030639819,-4.729739818679036
type0_27,-4.19257007529518,-4.163859994304403
type0_28,-3.708346830380833,-3.6798177951176285
type0_29,-3.2920104785366675,-3.2637828624895064
type0_30,-2.932421710505537,-2.9045900214428
type0_31,-2.620526933707879,-2.5931644757847607
type0_32,-2.3489209957638195,-2.322083702017835
type0_33,-2.1115110421987993,-2.0852406274937607
type0_34,-1.9032560153249278,-1.8775825722162267
type0_35,-1.7199632347325178,-1.6949073722273624
type0_36,-1.5581284158811286,-1.533703022745442
type0_37,-1.4148090053814713,-1.391020704726543
type0_38,-1.2875232598236153,-1.2643736095580493
type0_39,-1.1741693557490294,-1.151655839596799
type0_40,-1.0729601889768219,-1.0510770347041216
type0_41,-0.9823705393984596,-0.9611093943245237
type0_42,-0.9010940392243469,-0.8804445277336299
type0_43,-0.8280079571169949,-0.8079581405085037
type0_44,-0.7621442468151827,-0.7426810022483323
type0_45,-0.7026656422419819,-0.683774974603125
type0_46,-0.6488458375217192,-0.6305131356315314
type0_47,-0.6000529887579091,-0.5822632353696235
type0_48,-0.5557359288586099,-0.5384738722696625
type0_49,-0.5154126075356658,-0.49866290129921254
type0_50,-0.4786603636565019,-0.4624076797821317
type0_51,-0.4451077122744209,-0.4293368323932327
type0_52,-0.414427388348372,-0.39912327656548996
type0_53,-0.3863304367882847,-0.371478297327144
type0_54,-0.3605611766372476,-0.3461464988581042
type0_55,-0.3368928979140833,-0.3229014908654335
type0_56,-0.315124174471066,-0.2532180059658913
type0_57,-0.295075696353706,-0.23467855773583324
type0_58,-0.27658754154884946,-0.21765240804745645
type0_59,-0.2595168204044853,-0.20199833456177885
type0_60,-0.24373563699305123,-0.18759005491801872
type1_15,-25.491817412532782,-25.369797381007857
type1_16,-20.791571132272566,-20.677025764265295
type1_17,-17.13891366136818,-17.031297472500228
type1_18,-14.262845501870856,-14.16164915592276
type1_19,-11.971450132651057,-11.876200796285616
type1_20,-10.126401391793252,-10.036661957468596
type1_21,-8.626404376901291,-8.541771970945433
type1_22,-7.396208562769971,-7.316312632030872
type1_23,-6.379176438394893,-6.3036766190472235
type1_24,-5.532168222980204,-5.460752130250967
type1_25,-4.821964015400795,-4.754345046553908
type1_26,-4.22272429311397,-4.158639503077666
type1_27,-3.7141629143588943,-3.653371000189054
type1_28,-3.280216240521213,-3.222495654785803
type1_29,-2.9080624157739976,-2.8532096179123982
type1_30,-2.587390903766277,-2.5352187510740123
type1_31,-2.309852979589891,-2.260189254662464
type1_32,-2.0686444948244116,-2.021330563281367
type1_33,-1.8581863154960843,-1.8130759060621244
type1_34,-1.673877570903187,-1.6308356690538517
type1_35,-1.5119036646074733,-1.470805510689047
type1_36,-1.3690858184421018,-1.3298160012828362
type1_37,-1.2427623648821395,-1.2052140022494768
type1_38,-1.1306944888595467,-1.0947684866111445
type1_39,-1.0309909304101552,-0.9965953127555736
type1_40,-0.9420474893840947,-0.9090967932746707
type1_41,-0.8624981583421913,-0.830912885608484
type1_42,-0.7911754448475676,-0.7608815662928237
type1_43,-0.7270779970396575,-0.698006503245665
type1_44,-0.6693440648080582,-0.6414305589323703
type1_45,-0.6172296477913619,-0.590413976108664
