,ori_name,func_type,func_ratio,t,p,dataset,Y,Y_pred
0,19363N2,ori,,111,5e5,train,3.011788845062256,3.0786662101745605
1,19363N2,ori,,111,1e7,train,23.279279708862305,21.84255599975586
2,19363N2,ori,,231,5e5,train,0.571220874786377,0.47262096405029297
3,19363N2,ori,,231,1e7,train,8.682088851928711,7.5945587158203125
4,19363N2,ori,,296,5e5,train,0.37889471650123596,0.3363327980041504
5,19363N2,ori,,296,1e7,train,6.272156238555908,5.653872489929199
6,19363N2,single,half,111,5e5,train,5.9327287673950195,6.304077625274658
7,19363N2,single,half,111,1e7,train,24.426225662231445,24.27079200744629
8,19363N2,single,half,231,5e5,train,0.8965725302696228,1.226243019104004
9,19363N2,single,half,231,1e7,train,10.049348831176758,9.600977897644043
10,19363N2,single,half,296,5e5,train,0.4695497155189514,0.6445918083190918
11,19363N2,single,half,296,1e7,train,7.145901679992676,6.579792022705078
12,19363N2,single,all,111,5e5,train,6.805793762207031,8.867256164550781
13,19363N2,single,all,111,1e7,train,24.43102264404297,25.001773834228516
14,19363N2,single,all,231,5e5,train,1.1507128477096558,1.7351045608520508
15,19363N2,single,all,231,1e7,train,10.3935546875,10.908658027648926
16,19363N2,single,all,296,5e5,train,0.5351607799530029,0.9980549812316895
17,19363N2,single,all,296,1e7,train,7.350742816925049,7.399096965789795
18,19363N2,two,half,111,5e5,train,6.958520889282227,8.265893936157227
19,19363N2,two,half,111,1e7,train,24.913625717163086,24.55144500732422
20,19363N2,two,half,231,5e5,train,1.045040488243103,1.3644890785217285
21,19363N2,two,half,231,1e7,train,10.471508026123047,10.535545349121094
22,19363N2,two,half,296,5e5,train,0.5353354811668396,0.9352555274963379
23,19363N2,two,half,296,1e7,train,7.422360420227051,7.0998125076293945
24,19363N2,two,all,111,5e5,train,7.500621795654297,11.291824340820312
25,19363N2,two,all,111,1e7,train,24.261808395385742,26.114465713500977
26,19363N2,two,all,231,5e5,train,1.8093966245651245,2.205829620361328
27,19363N2,two,all,231,1e7,train,10.95228385925293,11.634073257446289
28,19363N2,two,all,296,5e5,train,0.7974907755851746,1.2249670028686523
29,19363N2,two,all,296,1e7,train,7.899212837219238,8.308250427246094
30,15030N2,ori,,111,5e5,train,3.7943105697631836,4.859683513641357
31,15030N2,ori,,111,1e7,train,24.450483322143555,24.198129653930664
32,15030N2,ori,,231,5e5,train,0.5653042793273926,0.7141585350036621
33,15030N2,ori,,231,1e7,train,8.410653114318848,8.741584777832031
34,15030N2,ori,,296,5e5,train,0.3546847701072693,0.5396280288696289
35,15030N2,ori,,296,1e7,train,5.783080577850342,6.02927827835083
36,15030N2,single,half,111,5e5,train,13.221165657043457,11.792709350585938
37,15030N2,single,half,111,1e7,train,27.877817153930664,28.1259765625
38,15030N2,single,half,231,5e5,train,1.9984118938446045,1.75929594039917
39,15030N2,single,half,231,1e7,train,12.557511329650879,12.150100708007812
40,15030N2,single,half,296,5e5,train,0.7765251994132996,0.8482174873352051
41,15030N2,single,half,296,1e7,train,8.466519355773926,8.243080139160156
42,15030N2,single,all,111,5e5,train,16.064245223999023,15.418657302856445
