name,111_5e5,111_1e7,231_5e5,231_1e7,296_5e5,296_1e7
05000N2,13.44076097,17.80022008,0.716835827,7.608295234,0.277837053,4.079216142
05001N2,7.313747605,44.41774711,1.025879438,15.46101446,0.662990207,10.79290657
05001N2_1.0_0.5,8.604290078,27.88337041,0.968586327,10.67597004,0.491358246,7.120453397
05001N2_1.0_1.0,7.586610674,18.57525066,1.076681707,7.988945543,0.445277944,5.421897868
05001N2_2.0_0.5,6.448621276,18.75006694,0.618111759,7.301967524,0.327930274,4.862897346
05001N2_2.0_1.0,6.515931892,12.68745474,0.800332835,5.574383206,0.309772276,3.664239188
07000N2,7.807614754,54.97141011,1.281567347,19.69842463,0.836283932,14.18432326
07000N2_1.0_0.5,7.32557625,26.23165567,1.00321166,10.59286312,0.494797082,7.333385044
07000N2_1.0_1.0,7.090805032,18.14900401,1.088205377,8.036582069,0.4780249,5.528731024
07000N2_2.0_0.5,6.026593999,17.71645242,0.732908301,7.305864898,0.357085352,4.996541989
07000N2_2.0_1.0,4.932906557,11.03720114,0.836281643,5.20445907,0.330427501,3.548623648
07001N2,10.18352399,20.58936766,0.785339446,8.240590233,0.401705291,5.255459649
07002N2,7.577120132,37.06999869,0.901085759,12.54812506,0.523567026,8.487444675
07002N2_1.0_0.5,6.748103523,18.75412514,0.903275149,7.573219902,0.403367837,5.028132106
07002N2_1.0_1.0,5.581533791,12.60986333,1.27854743,5.643062913,0.55483557,3.934129169
07002N2_2.0_0.5,5.161140479,12.62987067,0.700138138,5.308447809,0.290671487,3.529427975
07002N2_2.0_1.0,4.129907719,7.402341266,1.065608567,3.73130736,0.406260554,2.631097002
07010N3,14.58573739,82.49443859,1.89062872,28.01294713,1.145149299,18.86849673
07010N3_1.0_0.5,11.13170976,28.3002196,1.343553441,11.48168506,0.596969845,7.591097035
07010N3_1.0_1.0,9.876196097,18.2128374,1.55109772,8.467424953,0.600030167,5.653049347
07010N3_2.0_0.5,8.671809723,17.22992496,1.000620867,7.476111495,0.412394512,4.874156998
07010N3_2.0_1.0,7.189168965,10.23480034,1.265146547,5.419013642,0.44580113,3.656610035
07011N3,13.65041177,89.50288519,2.068853166,29.734301,1.256547877,20.27248403
