,PLD,LCD,ASA,Density,VF,site,ratio,T,Y,Y_pred
0,16.76115,16.93456,1220.29,0.58249,0.7134,1,0.5,296,7.660080514526786,7.596456527709961
1,8.04952,10.02023,2285.61,0.519721,0.7318,2,1.0,111,9.193877575883928,10.779796600341804
2,43.92127,44.22159,741.502,0.242289,0.8722,0,0.0,296,6.274680828125001,6.268562227487564
3,14.70511,15.41679,1283.08,0.552143,0.7238,1,1.0,111,14.201848900651779,14.79896068572998
4,27.92619,28.32721,1229.18,0.49464,0.7694,2,0.5,231,8.680219802116072,8.741697549819946
5,28.43869,29.05122,975.006,0.376184,0.8074,2,1.0,296,8.900413998892857,8.810007333755493
6,56.24885,56.39856,624.098,0.240713,0.8774,1,0.5,111,18.65468922683929,18.707304477691647
7,10.14918,10.78469,1296.81,0.813581,0.5754,0,0.0,296,4.2881492182142855,4.472224935889244
8,18.04379,18.22778,1204.99,0.561339,0.7092,1,1.0,296,8.188771473973215,8.334999680519104
9,17.80946,18.15626,1115.87,0.77486,0.6632,0,0.0,111,19.489139025892857,19.435996532440186
10,5.93934,7.94221,1311.09,0.921233,0.5638,1,0.5,231,5.996652017410714,7.132705330848694
11,18.97041,27.19302,1072.03,0.171077,0.9146,0,0.0,296,7.1807916770535725,7.021769881248474
12,27.9177,28.17859,989.193,0.401406,0.7956,1,0.5,111,18.198019246437504,19.051544666290283
13,5.9308,7.61354,1705.95,0.715945,0.6226,1,0.5,231,7.8871488301964305,7.858944892883301
14,13.88005,15.08539,1273.17,0.717263,0.6706,2,1.0,231,11.356568699267857,11.021670341491705
15,13.98506,14.58736,1308.58,0.671482,0.638,1,0.5,111,13.33194744211607,13.043292045593269
16,5.66415,6.16039,877.867,1.01261,0.4652,2,0.5,111,1.6083485496964283,2.7062692642211896
17,4.04298,5.26001,1266.76,1.03682,0.5036,1,1.0,231,8.463365831205358,8.15818238258362
18,13.89447,14.16961,1360.37,0.659957,0.659,0,0.0,296,5.171053411339286,5.233797609806062
19,10.32219,11.16891,1382.33,0.751486,0.6062,1,0.5,231,9.942508921562503,9.73733806610107
20,17.011,17.20752,1184.3,0.586624,0.7242,2,1.0,231,9.61998851877679,9.818389892578127
21,9.25945,9.46302,1229.41,0.832544,0.5424,2,0.5,296,5.253185146267858,6.405239820480347
22,17.6374,17.92327,1235.28,0.53257,0.7152,1,0.5,296,7.624851174723214,7.740128993988037
23,17.84961,18.82862,1771.96,0.421138,0.8194,2,0.5,111,22.440956116035714,22.54934406280518
24,15.25916,15.76505,1234.89,0.620781,0.6884,0,0.0,231,7.049416320714286,7.401601850986481
25,31.02221,31.22738,1069.07,0.51396,0.7444,0,0.0,111,19.29561344732143,19.216556072235104
26,26.72274,27.03934,938.129,0.43331,0.7788,2,1.0,231,12.633787278214289,11.50203251838684
27,28.12837,28.45277,1204.98,0.431664,0.779,2,1.0,296,6.782536865535715,6.900985360145569
28,24.73971,24.93045,1065.6,0.447461,0.7648,0,0.0,231,7.256325702142859,7.281924903392792
29,23.17957,23.42106,1096.61,0.451638,0.7674,2,0.5,231,11.007121539875,10.46898436546326
30,18.89046,19.40621,1143.59,0.486953,0.7482,1,0.5,111,18.34866287433036,18.62708950042725
31,26.33635,27.10766,1082.75,0.440527,0.7832,0,0.0,296,5.673882341964286,5.553607016801834
32,13.59415,14.00374,1293.82,0.703963,0.6544,1,0.5,296,7.084211722678573,7.143091201782227
33,9.28044,9.64438,2087.49,0.501059,0.7342,1,0.5,231,11.795733025124997,11.247961163520815
34,19.61827,20.37076,1103.39,0.569843,0.7314,1,1.0,231,9.30058342958036,9.778021872043606
35,29.53662,30.00226,1144.0,0.456346,0.7662,0,0.0,111,19.462989980357143,19.834896087646484
36,19.53162,20.0968,1457.45,0.379951,0.8,0,0.0,296,6.146087758482144,5.871683776378632
37,7.40055,8.10864,1327.25,0.876767,0.5454,1,0.5,231,8.444156885589287,8.304637432098389
38,15.24391,15.51822,1167.96,0.784279,0.6644,0,0.0,231,8.449044807589285,7.89296281337738
39,25.07403,25.43054,985.864,0.489931,0.7496,2,1.0,231,9.650073211526792,9.778445959091183
40,9.882,10.41104,1368.84,0.736052,0.6136,1,1.0,296,6.2311697928035725,6.755138039588928
41,9.54835,10.51587,1333.68,0.775313,0.6258,1,1.0,231,7.322959771383928,8.19997262954712
42,7.44904,8.45071,1952.56,0.782241,0.657,0,0.0,231,10.843988099107142,9.594747185707094
43,18.23621,18.71444,1194.39,0.525343,0.7254,1,1.0,296,8.756308271223213,8.335441589355469
44,20.37253,20.90007,1204.87,0.412557,0.7766,1,0.5,231,10.16436350528571,10.273789763450624
45,7.69661,9.59781,1994.79,0.61793,0.6798,0,0.0,111,18.9524140625,19.18672275543213
46,31.74327,32.06594,908.832,0.375704,0.8182,1,1.0,231,9.853523666875,9.888167619705204
47,9.33741,10.1699,1262.17,0.840886,0.5684,2,0.5,296,7.421092961035716,6.923201322555542
48,23.14027,23.38856,1021.74,0.631381,0.6778,2,0.5,296,4.500374560848215,4.696121394634247
49,4.96192,5.82992,1100.38,1.05784,0.4806,1,1.0,231,5.2991510429732145,5.546776771545412
50,16.54998,16.79344,1214.01,0.600893,0.6872,1,0.5,296,7.0387878640625,6.934622049331665
51,18.03346,18.33212,1123.89,0.614475,0.7156,1,0.5,231,9.277964751767861,9.600862681865696
52,18.85461,19.54346,1267.62,0.429701,0.7844,2,1.0,296,7.754600465794645,7.854267716407776
53,9.22101,11.52735,1941.58,0.280825,0.8644,1,1.0,111,25.523606633767855,25.557259559631355
54,9.24781,9.80223,1393.32,0.72702,0.6284,2,1.0,296,9.56279399989286,8.840019226074215
55,32.78879,32.93058,874.708,0.344509,0.8282,2,1.0,296,7.785836354589286,8.310106307268143
56,15.52394,16.10591,1273.93,0.54026,0.7242,1,0.5,296,6.539039570026786,6.2958473563194275
57,16.95169,17.45576,1202.97,0.624446,0.703,1,0.5,111,18.05196058528572,18.386727333068848
58,7.77666,8.24295,1555.61,0.710445,0.6306,1,1.0,231,9.983709625696427,8.90201830863953
59,9.83484,10.54691,1393.62,0.923775,0.6158,0,0.0,231,7.959079200357145,7.932716429233551
60,15.91733,25.09536,1226.91,0.189809,0.907,0,0.0,296,6.944312678839287,6.951730579137802
61,18.77561,21.68941,1084.43,0.154825,0.9158,2,0.5,231,10.630359567616072,10.656123936176295
62,26.5873,26.93593,1047.31,0.432618,0.7942,2,1.0,296,8.083727503473215,8.419184386730194
63,18.85461,19.54346,1267.62,0.429701,0.7844,2,1.0,231,10.79876556578572,11.012206196784973
64,25.27526,25.44012,1026.11,0.494729,0.7702,0,0.0,111,20.61558124017857,20.326745510101315
65,19.54583,19.70949,1083.93,0.54873,0.717,0,0.0,231,7.286072052589287,8.016780138015747
66,16.67598,16.96215,1211.27,0.59928,0.703,2,1.0,296,10.277457485151784,8.748232841491703
67,19.81649,20.13351,1127.92,0.621325,0.7144,0,0.0,111,21.094550278571433,20.25664758682251
68,16.32411,16.82653,1333.19,0.589894,0.712,2,1.0,296,6.930631861464286,7.107439994812012
69,13.59415,14.00374,1293.82,0.703963,0.6544,0,0.0,296,5.374484360535714,5.4249284863471985
70,27.38591,27.62491,1195.12,0.568196,0.733,2,0.5,231,9.909763365973218,9.871250510215763
71,9.51566,10.3157,1613.49,0.569717,0.7152,0,0.0,111,20.83191714642857,20.005985736846927
72,19.20747,19.47383,1209.1,0.49874,0.763,1,0.5,111,17.966097386875,17.899737358093258
73,9.97459,10.52532,1225.34,0.755695,0.614,1,1.0,296,7.0518273020625,6.6587947607040405
74,27.91513,28.07793,996.221,0.404815,0.7868,1,1.0,111,17.447676783946427,17.295923233032223
75,17.65467,17.9725,1280.39,0.585226,0.708,0,0.0,111,19.911754982142856,19.635921001434326
76,18.62581,21.79419,1088.15,0.166713,0.9158,2,0.5,296,7.606841390821429,7.676542937755585
77,18.51026,18.88525,1081.83,0.571047,0.704,2,1.0,296,9.25845068007143,9.045794248580934
78,11.97962,12.64216,1554.06,0.58135,0.6942,1,1.0,296,7.945371572383929,7.656598091125488
79,13.87891,14.29827,1202.09,0.839477,0.6314,2,1.0,111,14.186106339178572,13.906727790832521
80,32.11596,32.47108,890.204,0.342964,0.8296,1,0.5,231,9.90301431277679,9.847987174987797
81,23.794,24.0517,1064.95,0.423158,0.7884,2,1.0,111,16.240573190946428,15.914337158203132
82,10.68891,12.55381,1885.68,0.318408,0.8354,2,0.5,111,23.42174093833929,23.205037117004398
83,19.37121,19.91137,1150.37,0.499114,0.7542,2,1.0,296,9.270801179607144,8.616088867187496
84,16.43413,16.84676,1213.59,0.721957,0.6856,0,0.0,296,6.065663317767857,5.58778041601181
85,15.93025,16.1939,1195.31,0.560088,0.7004,1,1.0,231,9.502296210321429,9.56971907615662
86,5.09152,6.81787,2019.61,0.647199,0.6498,1,1.0,231,6.915453445964282,6.1942973136901855
87,12.48125,12.94086,1198.01,0.727503,0.6322,1,1.0,296,5.006307662625001,5.463793963193893
88,32.9942,33.26526,989.633,0.280503,0.859,2,1.0,111,15.473431003312502,16.219067573547356
89,17.90942,18.38658,1153.06,0.597476,0.6992,2,1.0,111,11.047074613794642,11.8388557434082
90,27.00362,27.19606,1013.49,0.398703,0.8136,1,1.0,296,8.21268155238393,8.116693437099457
91,21.36217,27.08752,917.077,0.111027,0.943,0,0.0,296,6.874019402142858,6.703638046979904
92,20.60651,20.84428,1171.16,0.461651,0.7704,1,1.0,111,19.26000483505358,18.11411952972412
93,23.42567,23.85134,989.523,0.578754,0.7558,2,0.5,111,18.558248829285713,18.78330945968628
94,31.74327,32.06594,908.832,0.375704,0.8182,2,0.5,296,7.129900914160714,7.08081591129303
95,23.80375,24.29879,1224.12,0.499289,0.7452,1,1.0,231,10.279836062071432,10.408067703247069
96,14.95702,16.31818,1235.42,0.612782,0.699,2,1.0,231,9.60761413558929,10.710566043853758
97,27.23734,27.7321,1015.88,0.382264,0.8042,1,0.5,231,9.60836903941964,9.56583726406097
98,16.14796,16.30386,1000.43,0.779671,0.5738,0,0.0,296,4.208017369107142,4.078381448984146
99,7.03285,7.34862,1106.14,0.93972,0.504,1,0.5,111,4.047306244071429,3.9438323974609393
100,22.95345,23.17673,1048.87,0.639122,0.677,1,0.5,296,4.526730435071429,4.332307487726211
101,22.36852,23.30635,1266.37,0.377397,0.8178,1,0.5,111,20.261382142857137,20.05521869659424
102,32.00589,32.19264,923.621,0.350349,0.8084,2,1.0,111,14.454085510392849,14.768432617187502
103,32.5236,32.95889,1066.59,0.467079,0.7424,1,1.0,231,10.86109097138393,10.664162993431088
104,8.88235,9.46666,1555.03,0.685648,0.6466,0,0.0,296,4.531556096071428,4.416011869907379
105,21.90998,22.16218,1119.95,0.457913,0.773,0,0.0,111,21.459989690178574,20.98661780357361
106,22.91272,23.16777,1077.82,0.477578,0.7536,0,0.0,111,19.109839672321428,19.3206672668457
107,13.26382,13.82111,1431.1,0.601986,0.6842,1,0.5,231,10.004267284285717,10.197938203811649
108,7.77666,8.24295,1555.61,0.710445,0.6306,2,0.5,231,8.177555101857147,7.9342405796051025
109,26.65274,27.10282,997.663,0.436575,0.7954,2,1.0,296,7.379957328116072,7.6688337326049805
110,25.28196,25.54078,1023.62,0.439066,0.7832,2,0.5,111,17.595248139589287,17.676252365112305
111,9.45147,9.97004,1388.39,0.772312,0.5982,1,0.5,231,9.248170201392858,8.72054576873779
112,3.80617,4.70093,490.044,1.06275,0.4538,0,0.0,231,5.0005745245535715,4.7282195687294
113,27.99736,28.2318,980.14,0.4159,0.7848,1,0.5,111,18.282400488839286,18.630113601684574
114,20.71633,22.75045,1055.32,0.14665,0.9284,2,0.5,111,23.09434305254464,22.840087890625
115,27.06543,27.27431,1029.65,0.455449,0.7902,1,0.5,231,9.390474344660715,9.346491277217863
116,6.85059,8.77775,1657.04,0.727662,0.6144,0,0.0,231,8.485079105178572,8.168715417385101
