P,q_H2S,q_CO2,q_CH4
1.0,8.4758e-06,3.8526e-06,0.0
2.0,1.23284e-05,3.8526e-06,7.705e-07
3.0,1.77221e-05,3.8526e-06,1.5411e-06
4.0,2.77389e-05,8.4758e-06,2.3116e-06
5.0,3.62147e-05,1.00168e-05,3.8526e-06
6.0,2.85095e-05,1.5411e-06,3.8526e-06
7.0,3.31326e-05,2.3116e-06,3.0821e-06
8.0,3.92968e-05,3.8526e-06,3.0821e-06
9.0,4.70021e-05,5.3937e-06,5.3937e-06
10.0,4.85432e-05,7.7053e-06,7.7053e-06
20.0,0.000104021,2.23453e-05,1.54105e-05
30.0,0.0001725979,3.54442e-05,2.00337e-05
40.0,0.0002234526,4.08379e-05,2.77389e-05
50.0,0.0002766189,5.70189e-05,3.54442e-05
60.0,0.0003028168,6.08716e-05,3.77558e-05
70.0,0.0003575242,6.54947e-05,4.62316e-05
80.0,0.0003868042,8.55284e-05,5.47074e-05
90.0,0.0004561515,0.0001009389,6.08716e-05
100.0,0.0005070062,0.0001132674,6.62653e-05
200.0,0.0009962904,0.00023424,0.0001271368
300.0,0.0014524419,0.0003282442,0.0001749094
400.0,0.0019671534,0.0004284126,0.000265061
500.0,0.002424846,0.0005470736,0.0002989642
600.0,0.0029041133,0.0006333725,0.0003806399
700.0,0.0034743026,0.000749722,0.0004507578
800.0,0.0038826815,0.0008783999,0.0005162526
900.0,0.0043735067,0.000969322,0.0005925346
1000.0,0.005044635,0.0010964588,0.0006364546
2000.0,0.0098188154,0.0022329849,0.0012251367
3000.0,0.0147848568,0.0034874016,0.0017853092
4000.0,0.0199874497,0.0045931067,0.0023963365
5000.0,0.0248070911,0.0055215908,0.0030805638
6000.0,0.0300643913,0.0069516874,0.0037755784
7000.0,0.0349672496,0.0079402725,0.0043018478
8000.0,0.0405551056,0.0089172997,0.0049722056
9000.0,0.0456190038,0.0100453501,0.0056664497
10000.0,0.0528503922,0.0114453962,0.0064146306
20000.0,0.1052238286,0.0231458366,0.0130164991
30000.0,0.1591182838,0.0341620497,0.0197501276
40000.0,0.2256432045,0.0457338122,0.0268597729
50000.0,0.2911541126,0.0573995789,0.0344625549
60000.0,0.3606155087,0.0689906045,0.0417810128
70000.0,0.4225064847,0.0792262746,0.0488521317
80000.0,0.4936622679,0.0931966851,0.0561012422
90000.0,0.5719693047,0.1027542921,0.0636678095
100000.0,0.6714588773,0.1088483839,0.0728655808
200000.0,2.2557200783,0.1841372696,0.1843291306
300000.0,3.9463555035,0.1672049563,0.2517956343
400000.0,4.6809058368,0.1317646036,0.272799408
500000.0,5.0300636208,0.1140494357,0.2788326281
1000000.0,5.4990490166,0.0852926274,0.2931258892
2000000.0,5.6854084837,0.0710301874,0.3092938405
3000000.0,5.7188023187,0.067814011,0.3295625322
4000000.0,5.7232759939,0.0679819857,0.3484589168
5000000.0,5.7146491825,0.0667529964,0.3736181383
