P,q_H2S,q_CO2,q_CH4
1.0,2.665e-05,2.73334e-05,2.3917e-06
2.0,4.81751e-05,6.62835e-05,3.4167e-06
3.0,7.07251e-05,9.80585e-05,4.4417e-06
4.0,9.12252e-05,0.0001308586,5.4667e-06
5.0,0.0001110419,0.0001722003,9.225e-06
6.0,0.0001407669,0.0002128587,1.19584e-05
7.0,0.000158192,0.0002429254,1.5375e-05
8.0,0.000190992,0.0002692338,1.70834e-05
9.0,0.0002155921,0.0003064756,2.1525e-05
10.0,0.0002395088,0.0003409839,2.42584e-05
20.0,0.0004086341,0.0006802596,4.71501e-05
30.0,0.0006266178,0.0010099685,6.79918e-05
40.0,0.0008750099,0.0013738441,9.49835e-05
50.0,0.001099827,0.0017493365,0.0001219752
60.0,0.0012870607,0.0021197038,0.0001452086
70.0,0.0016041279,0.0024418961,0.000163317
80.0,0.0017667615,0.0028406218,0.0001985087
90.0,0.0019837202,0.0031460723,0.0002350671
100.0,0.0021712956,0.0034566479,0.0002504421
200.0,0.0044396247,0.0069126124,0.0004861925
300.0,0.006678912,0.0106531858,0.000743468
400.0,0.0091156831,0.0144467177,0.0010250018
500.0,0.0115244374,0.0175972317,0.0012440106
600.0,0.0132372155,0.0214987304,0.0014657526
700.0,0.0160402539,0.0249406866,0.0017418198
800.0,0.0185566334,0.0283204593,0.0020025119
900.0,0.0204491285,0.0315697152,0.002211954
1000.0,0.0227113075,0.0352795385,0.0024688878
2000.0,0.0445264218,0.0686088402,0.0048636338
3000.0,0.0662277609,0.0989017447,0.0070065709
4000.0,0.086291147,0.1299821923,0.0091946082
5000.0,0.1083112616,0.1584246268,0.0115018874
6000.0,0.1246648244,0.1807587337,0.0132033904
7000.0,0.1443749265,0.2035233413,0.0150842688
8000.0,0.1616629493,0.2282009441,0.0168804137
9000.0,0.1791279558,0.2454097001,0.0184175748
10000.0,0.1990492083,0.2680253408,0.0202800032
20000.0,0.3463392401,0.4218313093,0.0335356687
30000.0,0.4452215097,0.5151266356,0.0419273588
40000.0,0.5159948121,0.566286186,0.0475156689
50000.0,0.5658966853,0.5994624207,0.0512825506
60000.0,0.6017802915,0.627244754,0.0538354886
70000.0,0.6271142371,0.6450158944,0.0556152334
80000.0,0.652033057,0.6619584915,0.0575364286
90000.0,0.674788098,0.6702900482,0.0581832047
100000.0,0.6928308638,0.6783106876,0.0592741484
200000.0,0.7889309367,0.7198608457,0.0645317245
300000.0,0.8587964292,0.7157915884,0.0669104121
400000.0,0.8912346626,0.7247760713,0.0675004715
500000.0,0.9258790416,0.7244087789,0.0681291393
1000000.0,1.0279641003,0.7196117703,0.0705963187
2000000.0,1.2439589808,0.6680299191,0.0738424996
3000000.0,1.3385652844,0.6556144134,0.0774583644
4000000.0,1.385167335,0.6528636502,0.0818597223
5000000.0,1.4442593747,0.6339117077,0.0873431406
