P,q_H2S,q_CO2,q_CH4
1.0,6.9347e-06,1.1558e-06,1.7337e-06
2.0,1.73368e-05,6.9347e-06,5.2011e-06
3.0,2.54274e-05,8.6684e-06,7.5126e-06
4.0,3.35179e-05,1.04021e-05,8.6684e-06
5.0,4.16084e-05,1.44474e-05,9.8242e-06
6.0,4.85432e-05,1.79147e-05,1.15579e-05
7.0,5.43221e-05,1.90705e-05,1.21358e-05
8.0,5.95231e-05,2.08042e-05,1.44474e-05
9.0,6.64579e-05,2.31158e-05,1.44474e-05
10.0,7.22368e-05,3.06284e-05,1.61811e-05
20.0,0.000147941,7.62821e-05,3.23621e-05
30.0,0.0002109315,0.0001167347,4.9121e-05
40.0,0.0003010831,0.0001456295,6.81916e-05
50.0,0.000394702,0.0001779916,8.89958e-05
60.0,0.0004680947,0.0002080421,0.0001017095
70.0,0.000548422,0.0002427158,0.0001173126
80.0,0.0006067894,0.0002745,0.0001490968
90.0,0.0007067652,0.0002889473,0.000169901
100.0,0.000784203,0.0003363347,0.000180881
200.0,0.001453405,0.0006570662,0.0003519378
300.0,0.0022532112,0.0009991799,0.000554201
400.0,0.0031136964,0.0013355145,0.0007443283
500.0,0.0039302615,0.0016834071,0.0009101841
600.0,0.0044555678,0.001996626,0.001047723
700.0,0.0053247213,0.002408087,0.0012482524
800.0,0.006165558,0.0026762301,0.0014337566
900.0,0.0068000864,0.0031310332,0.0015886324
1000.0,0.007564641,0.0034315384,0.0017695134
2000.0,0.0153621735,0.0071682053,0.0036650079
3000.0,0.0228227935,0.0103905458,0.0054946223
4000.0,0.0314178206,0.0140341716,0.0071578031
5000.0,0.0386692427,0.0181528268,0.0092428471
6000.0,0.0474422614,0.0216774063,0.0111891962
7000.0,0.055370976,0.0249893205,0.0127732055
8000.0,0.0634037117,0.0289571452,0.0149882757
9000.0,0.0697385928,0.0321164952,0.0166162049
10000.0,0.0788560367,0.0359681631,0.0182903657
20000.0,0.1670173331,0.0732273428,0.0380052417
30000.0,0.2556761968,0.1116567592,0.0571133284
40000.0,0.3563413998,0.1497088104,0.0763682003
50000.0,0.4542251958,0.1876903585,0.096281872
60000.0,0.5779131438,0.2313017562,0.1179789267
70000.0,0.714781713,0.2734279647,0.1405624718
80000.0,0.8748533303,0.324464153,0.1665168764
90000.0,1.0382628672,0.3681876623,0.1887935594
100000.0,1.2210336085,0.4210598218,0.2143659756
200000.0,3.7949960333,0.7840412312,0.4127502746
300000.0,5.0498324337,0.7942237349,0.4453481561
400000.0,5.6006076447,0.76325725,0.4498753828
500000.0,5.8635942088,0.7509070634,0.453560617
1000000.0,6.5068111819,0.6666916317,0.4569135618
2000000.0,6.829700572,0.6148729741,0.4780332997
3000000.0,6.9275150206,0.5962670779,0.5007451374
4000000.0,6.9453182212,0.6020899444,0.5291613732
5000000.0,6.9270394133,0.6105803727,0.5657848688
