P,q_H2S,q_CO2,q_CH4
1.0,0.000502678,0.0132062946,1.7083e-06
2.0,0.0009998039,0.0303088775,4.2708e-06
3.0,0.0016066904,0.0417342314,5.9792e-06
4.0,0.0020957017,0.0579694064,5.5521e-06
5.0,0.0025488379,0.0614505689,8.9688e-06
6.0,0.0030117971,0.0820129601,1.025e-05
7.0,0.0035307043,0.0897987033,1.36667e-05
8.0,0.0039415592,0.103163019,1.28125e-05
9.0,0.0044728518,0.1084913203,1.70834e-05
10.0,0.0048521025,0.1211919473,1.96459e-05
20.0,0.0096832778,0.2407071624,3.97188e-05
30.0,0.0145114636,0.2854151804,5.80834e-05
40.0,0.0184209915,0.3641199471,7.43126e-05
50.0,0.0212944133,0.4409109499,8.32814e-05
60.0,0.0248763677,0.5031195931,0.0001020731
70.0,0.0273679763,0.5164446171,0.0001191565
80.0,0.0307927638,0.5618146154,0.0001323961
90.0,0.0341577594,0.5800861275,0.0001306877
100.0,0.0364828053,0.6458101,0.0001426461
200.0,0.0642603553,0.8842682375,0.0002707713
300.0,0.0825878153,0.9700754128,0.0003587506
400.0,0.1027692475,1.054831107,0.0004510008
500.0,0.1127549009,1.1547303493,0.0005176259
600.0,0.1291344304,1.174096478,0.0006073136
700.0,0.1324652593,1.2403807848,0.0006179907
800.0,0.144478708,1.2691478886,0.0006491678
900.0,0.1527483374,1.3041815975,0.0007196367
1000.0,0.1610478628,1.3194246562,0.0008153036
2000.0,0.2475447789,1.4320565569,0.0012667314
3000.0,0.2789973876,1.5312784438,0.0015020548
4000.0,0.3211339322,1.5627156775,0.0017429302
5000.0,0.364845563,1.5851901242,0.0020628162
6000.0,0.4244622328,1.561626613,0.002280202
7000.0,0.4070880244,1.6490891663,0.0022985666
8000.0,0.4342398962,1.6459163585,0.0025642129
9000.0,0.4822962535,1.6233419741,0.0027491404
10000.0,0.4863936984,1.6343744106,0.0028785468
20000.0,0.6352346434,1.6810435988,0.0037749964
30000.0,0.6717315425,1.7482627927,0.0040397885
40000.0,0.7283637486,1.746243112,0.0044604664
50000.0,0.6875357896,1.8161986337,0.0043289245
60000.0,0.7368874931,1.8039319242,0.0044694351
70000.0,0.7763876475,1.7837457941,0.0049699777
80000.0,0.6992263628,1.8771507955,0.0045343519
90000.0,0.7709555648,1.8204634956,0.0050353216
100000.0,0.7822562101,1.8108976659,0.005195051
200000.0,0.8389712706,1.8251259727,0.0052014573
300000.0,0.8514647618,1.8283935932,0.0054649682
400000.0,0.9731512725,1.7166739442,0.0060850943
500000.0,0.9386467208,1.759745803,0.0058531876
1000000.0,0.944309856,1.7695529352,0.006068438
2000000.0,0.9167689106,1.8028146721,0.0062960738
3000000.0,1.0586855411,1.6632764731,0.0075188156
4000000.0,0.813308214,1.9112799403,0.0066894183
5000000.0,0.9193549048,1.8034642671,0.0075598157
