P,q_H2S,q_CO2,q_CH4
1.0,4.271e-07,0.0,4.271e-07
2.0,1.7083e-06,2.5625e-06,0.0
3.0,4.6979e-06,1.7083e-06,0.0
4.0,4.6979e-06,2.5625e-06,4.271e-07
5.0,2.9896e-06,5.9792e-06,8.542e-07
6.0,7.6875e-06,8.1146e-06,4.271e-07
7.0,9.3959e-06,8.1146e-06,4.271e-07
8.0,5.5521e-06,6.4063e-06,1.2813e-06
9.0,1.28125e-05,9.8229e-06,1.7083e-06
10.0,1.28125e-05,7.6875e-06,2.5625e-06
20.0,3.37396e-05,1.75104e-05,2.9896e-06
30.0,4.27084e-05,3.11771e-05,5.5521e-06
40.0,5.12501e-05,3.33126e-05,3.8438e-06
50.0,6.5771e-05,4.65522e-05,4.2708e-06
60.0,8.92606e-05,5.5948e-05,6.8333e-06
70.0,0.0001033544,6.36355e-05,8.5417e-06
80.0,0.0001127502,8.20001e-05,5.9792e-06
90.0,0.0001251356,8.1146e-05,1.15313e-05
100.0,0.0001405107,9.73752e-05,1.45209e-05
200.0,0.0002784588,0.0001849274,2.09271e-05
300.0,0.0004057299,0.0002665005,3.0323e-05
400.0,0.0005436781,0.0003698548,4.61251e-05
500.0,0.0006948658,0.0004475841,5.5948e-05
600.0,0.0008161577,0.0005560635,5.89376e-05
700.0,0.0009848559,0.000690595,8.58439e-05
800.0,0.0010497727,0.0007657618,8.84064e-05
900.0,0.0012214605,0.0007956577,0.0001037814
1000.0,0.0014051067,0.0009468455,0.0001161669
2000.0,0.0028384009,0.0018667846,0.0002460004
3000.0,0.0045134248,0.0029054531,0.000350209
4000.0,0.0056917498,0.0037942152,0.0004343445
5000.0,0.0067688559,0.0047846232,0.0005769906
6000.0,0.0088974431,0.005616583,0.0007025533
7000.0,0.0095551526,0.0066825849,0.0007845535
8000.0,0.0113403642,0.0074086279,0.0008947412
9000.0,0.0131810966,0.0085694425,0.0010151789
10000.0,0.013797379,0.0095952985,0.0011087103
20000.0,0.0285599681,0.0186947524,0.0022763583
30000.0,0.0423658888,0.0283327593,0.0035593189
40000.0,0.0562320283,0.0378793703,0.0046543625
50000.0,0.071114628,0.046383896,0.0058215834
60000.0,0.0854475705,0.0554995791,0.0069542104
70000.0,0.1004070453,0.0645294182,0.0082252127
80000.0,0.1157483333,0.073115517,0.0092514958
90000.0,0.1295563895,0.0799471543,0.0104477584
100000.0,0.1462365861,0.0923219162,0.0115611666
200000.0,0.2943237277,0.16644706,0.0224629154
300000.0,0.451032416,0.2448024719,0.0333031641
400000.0,0.6253062193,0.3107878198,0.0449275392
500000.0,0.7963444334,0.3736212871,0.0550366199
1000000.0,1.5127852751,0.5572802635,0.0939841275
2000000.0,2.2429901832,0.6582689974,0.1315717993
3000000.0,2.5092583292,0.6800404637,0.1498924261
4000000.0,2.6032437379,0.7070513977,0.1639387951
5000000.0,2.6728879154,0.7162490809,0.1771429543
