P,q_H2S,q_CO2,q_CH4
1.0,2.25379e-05,1.7337e-06,2.6005e-06
2.0,4.85432e-05,3.4674e-06,5.6345e-06
3.0,6.37129e-05,9.1018e-06,8.6684e-06
4.0,8.84179e-05,9.5353e-06,1.17024e-05
5.0,9.92534e-05,1.38695e-05,1.647e-05
6.0,0.0001490968,1.51697e-05,1.69034e-05
7.0,0.0001651334,1.69034e-05,2.38382e-05
8.0,0.0002041413,2.12376e-05,2.60053e-05
9.0,0.0001985068,1.47363e-05,3.33734e-05
10.0,0.0002284129,2.60053e-05,2.94726e-05
20.0,0.0004295202,3.72742e-05,6.76137e-05
30.0,0.000664001,7.1081e-05,8.45171e-05
40.0,0.0008599072,0.0001005537,0.0001174571
50.0,0.0011013227,0.0001074884,0.0001391281
60.0,0.0013327695,0.0001187574,0.0001837705
70.0,0.0015776524,0.0001590655,0.0002115094
80.0,0.0018242689,0.0001707679,0.0002557184
90.0,0.0020258097,0.0001924389,0.0002652536
100.0,0.002342207,0.0002175773,0.0002994939
200.0,0.0045686906,0.0004615934,0.0006059225
300.0,0.0071410442,0.0007034423,0.0009561267
400.0,0.009371862,0.0009335888,0.0012456519
500.0,0.0118831032,0.0011130251,0.0015585819
600.0,0.0137953566,0.0014164198,0.0018043316
700.0,0.0164908018,0.0016561016,0.0021397994
800.0,0.019427229,0.0018086658,0.002498672
900.0,0.0219363031,0.0020245094,0.0028436751
1000.0,0.023974682,0.0023573768,0.0031847774
2000.0,0.0465962236,0.0044425651,0.0060509904
3000.0,0.0709596842,0.006612704,0.009358426
4000.0,0.0946929507,0.0092782431,0.0123707019
5000.0,0.119088051,0.0117353067,0.0157050095
6000.0,0.150245819,0.0137762861,0.0189183927
7000.0,0.173145617,0.0155268735,0.021777671
8000.0,0.200375724,0.0171383327,0.0256130133
9000.0,0.2258361731,0.01933361,0.0284939626
10000.0,0.2520663779,0.0217854726,0.0316427661
20000.0,0.5378173682,0.0384474756,0.0625032073
30000.0,0.8886257157,0.0512138908,0.0962545665
40000.0,1.250380977,0.0585027316,0.1256188385
50000.0,1.6373626402,0.0616281303,0.1523431432
60000.0,1.9154178074,0.062628466,0.1705052163
70000.0,2.2308225949,0.0602247132,0.1876314132
80000.0,2.457687276,0.0566225513,0.2009318031
90000.0,2.6308732011,0.0533120818,0.2083658399
100000.0,2.7759331381,0.0498837218,0.2151311081
200000.0,3.3918486341,0.0329022875,0.2370760796
300000.0,3.5778586195,0.0247877797,0.2436818489
400000.0,3.6550591325,0.0219102978,0.2459209017
500000.0,3.7070679174,0.0197713652,0.2495599043
1000000.0,3.7921709953,0.0159121847,0.2575716913
2000000.0,3.8238016256,0.0138252627,0.2736082679
3000000.0,3.8254924009,0.0126883994,0.2883541167
4000000.0,3.8090696462,0.0137723853,0.3077258678
5000000.0,3.7970842557,0.0129961283,0.3258402646
