P,q_H2S,q_CO2,q_CH4
1.0,8.6684e-06,0.0,1.7337e-06
2.0,1.32916e-05,1.7337e-06,2.3116e-06
3.0,2.77389e-05,2.3116e-06,8.0905e-06
4.0,3.35179e-05,5.2011e-06,5.7789e-06
5.0,3.64074e-05,2.8895e-06,9.8242e-06
6.0,4.73874e-05,8.0905e-06,4.6232e-06
7.0,4.73874e-05,4.6232e-06,9.2463e-06
8.0,5.25884e-05,6.9347e-06,1.56032e-05
9.0,5.95231e-05,5.7789e-06,1.50253e-05
10.0,5.20105e-05,1.27137e-05,2.31158e-05
20.0,0.0001248252,1.96484e-05,3.40958e-05
30.0,0.0002097758,2.31158e-05,5.20105e-05
40.0,0.0002762336,3.35179e-05,6.70358e-05
50.0,0.0003438473,5.08547e-05,8.32168e-05
60.0,0.0003987473,5.20105e-05,9.82421e-05
70.0,0.0004831199,6.29905e-05,0.0001098
80.0,0.0005599799,5.54779e-05,0.0001219358
90.0,0.0006379957,8.14831e-05,0.0001502526
100.0,0.000680182,7.74379e-05,0.0001502526
200.0,0.0014349124,0.0001779916,0.0003253547
300.0,0.0021295418,0.000246761,0.0004652052
400.0,0.0028224375,0.0003114852,0.0005906083
500.0,0.0036049068,0.0003935463,0.0007761125
600.0,0.0040914941,0.0005270399,0.0010009135
700.0,0.0047329572,0.0006044778,0.0010823967
800.0,0.0057604539,0.0006183473,0.0012459409
900.0,0.0063712885,0.0007136999,0.0013967714
1000.0,0.0072051905,0.0008125199,0.0015389335
2000.0,0.0144618136,0.0016354419,0.0031177416
3000.0,0.0214583842,0.0023930618,0.0047624298
4000.0,0.0285670663,0.00342287,0.0063158106
5000.0,0.0355694158,0.0040325489,0.0079038651
6000.0,0.0436824788,0.0050288393,0.0095185028
7000.0,0.0507778693,0.0057402276,0.0110285415
8000.0,0.0595329733,0.0066134264,0.0127726276
9000.0,0.0650668925,0.0071624263,0.0142156305
10000.0,0.0721004483,0.008453443,0.0158470271
20000.0,0.1510836218,0.0151928504,0.0318154121
30000.0,0.2290728166,0.0226049272,0.0474821361
40000.0,0.3057709947,0.0296061209,0.0630511959
50000.0,0.3930359765,0.0350377527,0.0778094695
60000.0,0.4635009829,0.0400798835,0.0912328065
70000.0,0.5518310245,0.0427457116,0.1060338443
80000.0,0.618839643,0.0478687476,0.1174131679
90000.0,0.694314996,0.0513915934,0.1303487617
100000.0,0.7731016854,0.054559034,0.1417772064
200000.0,1.3680424951,0.0673703805,0.2262203286
300000.0,1.6751825222,0.0658690102,0.2611679297
400000.0,1.8504308089,0.0648571167,0.2828586276
500000.0,1.9626169196,0.0606344405,0.2964848055
1000000.0,2.1664351621,0.0556368075,0.3267930684
2000000.0,2.2484777099,0.0537754089,0.3496528471
3000000.0,2.2632839488,0.053829731,0.3730899426
4000000.0,2.251038939,0.0562655569,0.394097569
5000000.0,2.2383668651,0.0530807795,0.4221976964
