P,q_H2S,q_CO2,q_CH4
1.0,4.89766e-05,2.1671e-06,2.1671e-06
2.0,8.62508e-05,7.3682e-06,7.3682e-06
3.0,0.0001625329,7.8016e-06,9.1018e-06
4.0,0.0001998071,1.25692e-05,1.38695e-05
5.0,0.0002509508,1.60366e-05,1.69034e-05
6.0,0.0003133634,2.34047e-05,1.34361e-05
7.0,0.0003996142,3.20732e-05,2.1671e-05
8.0,0.0003987473,2.90392e-05,1.82037e-05
9.0,0.0004516247,3.25066e-05,2.4705e-05
10.0,0.0005231391,2.94726e-05,2.51384e-05
20.0,0.0010597143,7.28147e-05,5.72116e-05
30.0,0.0015902216,0.0001022874,8.97181e-05
40.0,0.002169272,0.0001360942,0.000104021
50.0,0.0026911109,0.000153431,0.000120491
60.0,0.0033260727,0.0001985068,0.0001607992
70.0,0.0037872326,0.0002318802,0.0001881047
80.0,0.0043073378,0.0002643868,0.0002132431
90.0,0.0050541221,0.000304695,0.0002349142
100.0,0.005331945,0.0003289665,0.0002548515
200.0,0.0106729918,0.0006340949,0.0005144707
300.0,0.0162905613,0.0010276412,0.0007316146
400.0,0.0218192794,0.0014268219,0.0010306751
500.0,0.0273631673,0.0016435324,0.001308498
600.0,0.0326496031,0.0019816008,0.0015460127
700.0,0.0388652935,0.0022312512,0.0018021645
800.0,0.0452053757,0.0025935912,0.0021259299
900.0,0.0482367221,0.0030248451,0.0023110007
1000.0,0.0559823885,0.0035029084,0.0025979254
2000.0,0.1138263202,0.006533388,0.0053211095
3000.0,0.17726485,0.0094875854,0.0079407059
4000.0,0.2402946639,0.0121778295,0.0106036445
5000.0,0.303119903,0.0151723351,0.0130888804
6000.0,0.3800053189,0.0177871639,0.0156521322
7000.0,0.4367435937,0.0186102304,0.0177273518
8000.0,0.5167349045,0.0215843652,0.020216922
9000.0,0.6085278353,0.0238541909,0.0229110669
10000.0,0.669893746,0.0257625436,0.0252372373
20000.0,1.4054594401,0.0336629413,0.0426416905
30000.0,1.8538798287,0.0334891395,0.0502265578
40000.0,2.0753986953,0.033321839,0.0530069535
50000.0,2.2321982731,0.0315183743,0.0547432379
60000.0,2.3073504386,0.0306393965,0.0558289575
70000.0,2.377943882,0.0298384345,0.0560829422
80000.0,2.4149571676,0.029199572,0.0567330737
90000.0,2.4505601013,0.0292091072,0.0558961378
100000.0,2.4787090608,0.0280934816,0.0566706611
200000.0,2.591158836,0.0267945189,0.0571157844
300000.0,2.6262967089,0.0255523344,0.0584147471
400000.0,2.641063362,0.0257330709,0.0577897541
500000.0,2.6525936605,0.0253715978,0.0581312898
1000000.0,2.6685470203,0.0248536597,0.0603564732
2000000.0,2.6745420994,0.0255358644,0.0629882054
3000000.0,2.6711861207,0.0279019095,0.0670450259
4000000.0,2.6681972495,0.027465888,0.0720163646
5000000.0,2.66365023,0.0280605416,0.0767406534
