P,q_H2S,q_CO2,q_CH4
1.0,0.0,2.3116e-06,5.779e-07
2.0,5.779e-07,1.04021e-05,0.0
3.0,1.7337e-06,1.32916e-05,0.0
4.0,1.7337e-06,1.15579e-05,5.779e-07
5.0,0.0,1.79147e-05,0.0
6.0,4.0453e-06,1.61811e-05,1.1558e-06
7.0,4.0453e-06,1.73368e-05,5.779e-07
8.0,1.7337e-06,2.60053e-05,0.0
9.0,3.4674e-06,2.94726e-05,0.0
10.0,3.4674e-06,3.23621e-05,5.779e-07
20.0,5.2011e-06,5.77895e-05,5.779e-07
30.0,6.9347e-06,9.07295e-05,1.1558e-06
40.0,8.0905e-06,0.0001115337,1.7337e-06
50.0,1.15579e-05,0.0001404284,4.0453e-06
60.0,1.84926e-05,0.0001803031,6.9347e-06
70.0,1.61811e-05,0.0002034189,2.3116e-06
80.0,1.67589e-05,0.0002461831,7.5126e-06
90.0,2.13821e-05,0.0002588968,4.6232e-06
100.0,3.35179e-05,0.0002860579,5.2011e-06
200.0,5.08547e-05,0.0006148799,1.21358e-05
300.0,8.03274e-05,0.0009148072,2.08042e-05
400.0,0.0001306042,0.0012153125,3.69853e-05
500.0,0.0001415842,0.0014996366,4.44979e-05
600.0,0.000191861,0.0018215239,4.9121e-05
700.0,0.0001889716,0.0021428334,5.83674e-05
800.0,0.0002340473,0.0025080628,7.85937e-05
900.0,0.0002652536,0.0027293964,7.80158e-05
1000.0,0.0002716105,0.0031628174,8.09053e-05
2000.0,0.0006223925,0.0062060107,0.0001606547
3000.0,0.0008876462,0.009264807,0.0002201779
4000.0,0.0012476746,0.0123883276,0.0003374905
5000.0,0.001486345,0.0155811956,0.0004027926
6000.0,0.0016990103,0.0184076783,0.0004888989
7000.0,0.0020538376,0.0214104189,0.0005420652
8000.0,0.0023115786,0.0246344932,0.0006316389
9000.0,0.0027137933,0.0285399052,0.0007385494
10000.0,0.0030166101,0.031690009,0.0008073188
20000.0,0.0058904802,0.0601426521,0.0015418229
30000.0,0.0085083429,0.0886317027,0.0022364523
40000.0,0.0116099035,0.1184308403,0.0030738216
50000.0,0.014234701,0.1488928232,0.0037320437
60000.0,0.0163284134,0.1746732815,0.0043590594
70000.0,0.019703896,0.2021134532,0.0052097203
80000.0,0.0222795725,0.2352464651,0.0060546023
90000.0,0.0243513248,0.2551734285,0.0063868917
100000.0,0.0280908811,0.2921881588,0.0073802926
200000.0,0.0487581275,0.5154288626,0.0133349191
300000.0,0.0649715398,0.7077724288,0.0178737037
400000.0,0.0803949702,0.8754890145,0.0223512314
500000.0,0.0936726777,1.0143495865,0.0259717414
1000000.0,0.1335364286,1.4537500509,0.0389009784
2000000.0,0.1647277145,1.8117159125,0.0515718966
3000000.0,0.1825574982,1.9615772872,0.0615024383
4000000.0,0.1856775514,2.0497391615,0.0669040196
5000000.0,0.1906636265,2.0893208998,0.0746385616
