P,q_H2S,q_CO2,q_CH4
1.0,3.32867e-05,6.2413e-06,2.4965e-06
2.0,3.9528e-05,5.4091e-06,4.1608e-06
3.0,7.28147e-05,6.6573e-06,1.16504e-05
4.0,0.0001061015,1.04021e-05,1.45629e-05
5.0,0.0001169196,1.20664e-05,1.24825e-05
6.0,0.0001406364,1.41469e-05,1.41469e-05
7.0,0.0001651854,1.78916e-05,2.20525e-05
8.0,0.0001959756,1.62273e-05,1.83077e-05
9.0,0.0002230211,1.78916e-05,2.12203e-05
10.0,0.0002280141,2.24685e-05,3.28706e-05
20.0,0.0004822415,4.11923e-05,5.95e-05
30.0,0.0007348046,8.61294e-05,9.52833e-05
40.0,0.0009266194,8.4049e-05,0.0001231609
50.0,0.0012395147,0.0001106784,0.0001610246
60.0,0.001488333,0.0001410525,0.000202633
70.0,0.0016780674,0.000173091,0.0001959756
80.0,0.0019884661,0.0001934791,0.0002717029
90.0,0.0023392251,0.0002292624,0.0002920911
100.0,0.0024910958,0.0002230211,0.0003058218
200.0,0.0050113175,0.0004764164,0.0006108115
300.0,0.0077770288,0.0006765528,0.0009615705
400.0,0.0102568904,0.0009673956,0.0012407629
500.0,0.0127912589,0.0011575461,0.0015449204
600.0,0.0150892917,0.0013830637,0.0019314626
700.0,0.0174946741,0.0015511617,0.0021515711
800.0,0.0210496971,0.0017334066,0.0024661308
900.0,0.0229903136,0.0021682145,0.002788596
1000.0,0.0249338426,0.0021478264,0.0031135577
2000.0,0.0509844551,0.0045099361,0.0062728846
3000.0,0.0766531023,0.0067205912,0.0095374809
4000.0,0.1046239431,0.009118068,0.0127970841
5000.0,0.1279903968,0.0113765728,0.01572382
6000.0,0.1587747986,0.0138476966,0.0198909027
7000.0,0.1851424672,0.0154475401,0.0226965582
8000.0,0.2092990646,0.0172292124,0.0252042973
9000.0,0.2409655649,0.0195051927,0.029138789
10000.0,0.2669046668,0.0217524632,0.0321329306
20000.0,0.5601745057,0.0371937621,0.0636712769
30000.0,0.9182760802,0.0523367286,0.0973087677
40000.0,1.3162197923,0.0582322249,0.1297129852
50000.0,1.6842616171,0.0624496538,0.1577404134
60000.0,1.9868921011,0.0632851508,0.1777461554
70000.0,2.2666562646,0.0620223354,0.1950660742
80000.0,2.4790081386,0.0603763065,0.2071183676
90000.0,2.656838343,0.056986885,0.2172891286
100000.0,2.8068766227,0.0538974602,0.2243321849
200000.0,3.3845420578,0.0409772152,0.2518524066
300000.0,3.555785234,0.0361830937,0.2586441482
400000.0,3.6366224785,0.0334086446,0.2621667166
500000.0,3.6819590074,0.031527112,0.2660779076
1000000.0,3.766218128,0.028139771,0.2751714267
2000000.0,3.7961329139,0.0264267525,0.2915443379
3000000.0,3.788736186,0.0269897144,0.309953565
4000000.0,3.7813311364,0.025731892,0.326621896
5000000.0,3.7614872512,0.0268798682,0.3486785167
