P,q_H2S,q_CO2,q_CH4
1.0,5.2493e-06,1.86641e-05,1.1665e-06
2.0,1.51646e-05,2.68296e-05,5.833e-07
3.0,2.09971e-05,3.96612e-05,1.7498e-06
4.0,2.33301e-05,6.35746e-05,4.0828e-06
5.0,3.73282e-05,6.88239e-05,5.8325e-06
6.0,3.9078e-05,8.92377e-05,3.4995e-06
7.0,4.6077e-05,0.0001044023,7.5823e-06
8.0,6.70741e-05,0.0001114013,5.2493e-06
9.0,5.94918e-05,9.97363e-05,8.1655e-06
10.0,6.47411e-05,0.0001160674,1.04986e-05
20.0,0.0001516458,0.0002507988,1.22483e-05
30.0,0.0002338845,0.0003890298,2.39134e-05
40.0,0.000329538,0.0005080134,3.67449e-05
50.0,0.0003726987,0.0006042502,4.25775e-05
60.0,0.0004281078,0.0007593955,4.72435e-05
70.0,0.0005179287,0.0008358017,6.24081e-05
80.0,0.0005855861,0.0009676169,6.64909e-05
90.0,0.0006952377,0.0011513416,6.06583e-05
100.0,0.0007150683,0.0012656592,8.86545e-05
200.0,0.0015077092,0.0025493992,0.0001633109
300.0,0.0022449411,0.0038278899,0.0002455495
400.0,0.0031845618,0.0050206425,0.0002968758
500.0,0.0038949641,0.00634696,0.0004012781
600.0,0.0045820362,0.0077986769,0.0004631029
700.0,0.0053624288,0.009008927,0.0005488411
800.0,0.0061177415,0.0104367306,0.0006759903
900.0,0.0071804286,0.0116516467,0.0006993204
1000.0,0.0083142726,0.0129476351,0.0007920577
2000.0,0.0162150188,0.0259856744,0.0016185273
3000.0,0.024067355,0.0374028534,0.0024251663
4000.0,0.0316292312,0.051824369,0.0032224733
5000.0,0.0401902198,0.0657810319,0.0040576917
6000.0,0.0473881461,0.0767141108,0.0048229197
7000.0,0.0560838662,0.0885308182,0.00569255
8000.0,0.0648151648,0.1033028689,0.0064706096
9000.0,0.0737266885,0.117015732,0.0074609734
10000.0,0.0815049516,0.1295935846,0.0081451292
20000.0,0.1660352369,0.2540662072,0.0160429592
30000.0,0.2487895166,0.3829371412,0.023689407
40000.0,0.341582165,0.5009479029,0.0311567962
50000.0,0.4353990058,0.6238562407,0.0383098119
60000.0,0.5252351443,0.7470112946,0.0454219999
70000.0,0.6109033564,0.8483071896,0.0515770697
80000.0,0.6962426137,0.9525555117,0.0569464975
90000.0,0.7753060679,1.0426191189,0.0627212862
100000.0,0.8492718902,1.1349655787,0.0678060865
200000.0,1.3061865187,1.6128359071,0.09408922
300000.0,1.5014783133,1.8005075002,0.1044664587
400000.0,1.5856259845,1.9095058353,0.1102581618
500000.0,1.6560823731,1.9584961776,0.1127194898
1000000.0,1.7740873023,2.0744025622,0.1198940859
2000000.0,1.8198225091,2.1415227431,0.1275475328
3000000.0,1.8152952987,2.1856219251,0.1351957304
4000000.0,1.7957977316,2.2175521148,0.1419288039
5000000.0,1.7826173785,2.2397338126,0.1494323548
