P,q_H2S,q_CO2,q_CH4
1.0,6.3568e-06,5.779e-07,2.0226e-06
2.0,1.47363e-05,4.3342e-06,2.0226e-06
3.0,1.90705e-05,8.0905e-06,3.7563e-06
4.0,2.42716e-05,9.8242e-06,5.2011e-06
5.0,3.12063e-05,1.12689e-05,6.6458e-06
6.0,4.56537e-05,1.41584e-05,1.01132e-05
7.0,4.76763e-05,1.84926e-05,6.0679e-06
8.0,5.49e-05,2.31158e-05,9.8242e-06
9.0,6.47242e-05,1.41584e-05,1.04021e-05
10.0,7.33926e-05,2.08042e-05,1.04021e-05
20.0,0.0001450516,4.21863e-05,2.65832e-05
30.0,0.0002112205,7.1081e-05,3.69853e-05
40.0,0.0003213094,9.79531e-05,4.59426e-05
50.0,0.000378521,0.0001239584,5.77895e-05
60.0,0.0004585594,0.0001334937,7.57042e-05
70.0,0.0005125926,0.0001473631,9.3041e-05
80.0,0.0005261731,0.0001872379,0.0001077774
90.0,0.0006544657,0.0002117984,0.00012627
100.0,0.0007116773,0.0002210447,0.0001360942
200.0,0.0014117966,0.0004302426,0.0002614973
300.0,0.0023023323,0.0006793152,0.0003629178
400.0,0.0029911827,0.0008679978,0.0005172157
500.0,0.0038551352,0.0011474098,0.000653021
600.0,0.0046604314,0.0013698993,0.0007847809
700.0,0.0053117187,0.0015929666,0.0009367672
800.0,0.0061826059,0.0018088103,0.0010884646
900.0,0.0066498338,0.0020032718,0.001162724
1000.0,0.0077232731,0.0022390528,0.0013005519
2000.0,0.0148625836,0.0045662346,0.002561518
3000.0,0.0224295361,0.0066579243,0.0038464668
4000.0,0.0293876767,0.0088727055,0.0050597566
5000.0,0.0373057003,0.0108580626,0.0066454995
6000.0,0.0436853683,0.0130968265,0.0076660615
7000.0,0.0483807623,0.0144482331,0.0085109435
8000.0,0.0564340132,0.016725138,0.0099499012
9000.0,0.0630043865,0.0188012246,0.0111923747
10000.0,0.0719629093,0.0209119848,0.0126151513
20000.0,0.1317654705,0.038107818,0.0231337008
30000.0,0.1909675991,0.0523404965,0.0331806882
40000.0,0.2379039137,0.0646297152,0.0412336502
50000.0,0.288391102,0.0736728996,0.0497096311
60000.0,0.334376202,0.0833864419,0.0570263552
70000.0,0.3842040125,0.0909461707,0.064784302
80000.0,0.425589649,0.0954996916,0.0708758895
90000.0,0.4655897831,0.1011133603,0.0771448907
100000.0,0.496742639,0.1070991931,0.0814837237
200000.0,0.7822182625,0.1241459295,0.1207398184
300000.0,0.9574581697,0.1261526687,0.1439099266
400000.0,1.0858886101,0.1194219297,0.1617599366
500000.0,1.1622397625,0.1157514318,0.1699669074
1000000.0,1.4179318514,0.0890772594,0.2025740352
2000000.0,1.5556340336,0.0715254431,0.2307342637
3000000.0,1.6025576346,0.0647580078,0.2487960721
4000000.0,1.6162517152,0.0618838487,0.2668830189
5000000.0,1.6251952128,0.0565807985,0.2867195417
