P,q_H2S,q_CO2,q_CH4
1.0,8.8765e-06,4.438e-07,3.9944e-06
2.0,1.95282e-05,2.2191e-06,3.5506e-06
3.0,3.55058e-05,1.3315e-06,1.19832e-05
4.0,3.32867e-05,3.5506e-06,9.3203e-06
5.0,4.70452e-05,4.8821e-06,1.55338e-05
6.0,5.90285e-05,3.1068e-06,1.73091e-05
7.0,6.08038e-05,4.4382e-06,1.37585e-05
8.0,6.87926e-05,3.9944e-06,1.46462e-05
9.0,7.54499e-05,1.02079e-05,2.52979e-05
10.0,8.65455e-05,1.06518e-05,2.08597e-05
20.0,0.0001699842,1.55338e-05,4.79329e-05
30.0,0.0002565297,2.57417e-05,7.14555e-05
40.0,0.000346182,3.68373e-05,0.0001056299
50.0,0.000454031,3.95003e-05,0.0001358099
60.0,0.0005188292,4.66014e-05,0.0001664337
70.0,0.0005889532,6.03599e-05,0.0001753101
80.0,0.0007021281,7.85567e-05,0.0002130351
90.0,0.000825511,7.98882e-05,0.0002423274
100.0,0.0008352751,8.87646e-05,0.0002396645
200.0,0.0017078313,0.0001651022,0.0005090651
300.0,0.002551539,0.0002343386,0.0007487296
400.0,0.0034831236,0.00031112,0.0009981581
500.0,0.0043592304,0.0004207443,0.001271997
600.0,0.005258416,0.0004629075,0.0015001221
700.0,0.006176686,0.0005712003,0.0017770677
800.0,0.0071082706,0.0006426558,0.0021143732
900.0,0.0079404389,0.0007531678,0.0022217784
1000.0,0.0087912478,0.0008011007,0.0025661851
2000.0,0.0173801123,0.001618179,0.0049912345
3000.0,0.0262783215,0.0024583361,0.0075623017
4000.0,0.0352524244,0.0032523356,0.010117835
5000.0,0.0447750926,0.0040729645,0.0128318132
6000.0,0.0542587045,0.0050187515,0.0157574951
7000.0,0.0626980006,0.0058060937,0.0180010208
8000.0,0.0727328407,0.0067381222,0.0208352751
9000.0,0.0813185984,0.0074380312,0.0232922797
10000.0,0.0910742738,0.0083740541,0.0257807958
20000.0,0.1946958702,0.0167800635,0.054141979
30000.0,0.3001943945,0.0247995029,0.0809777423
40000.0,0.4124558951,0.0333945809,0.1112402636
50000.0,0.5590213701,0.0415649202,0.1428213834
60000.0,0.7283744979,0.0498559794,0.1792721301
70000.0,0.9074828573,0.0567720747,0.2142209795
80000.0,1.1159044005,0.0649632736,0.2529964716
90000.0,1.4041435324,0.0719099927,0.3012054235
100000.0,1.6721057187,0.0783445399,0.3421094912
200000.0,4.364044116,0.0695439718,0.6072800302
300000.0,5.0632634312,0.0535383796,0.6439580143
400000.0,5.3632248186,0.0434848989,0.6555666511
500000.0,5.5032314759,0.0383698378,0.6612422608
1000000.0,5.7266573464,0.0305678716,0.6833411002
2000000.0,5.7944704081,0.0267501054,0.7229407718
3000000.0,5.7864438675,0.025662295,0.7640556554
4000000.0,5.7537962408,0.026051084,0.8122823603
5000000.0,5.7144659699,0.0253911191,0.8603546147
