P,q_H2S,q_CO2,q_CH4
1.0,6.4917e-06,7.8583e-06,2.3917e-06
2.0,1.19584e-05,1.36667e-05,5.8083e-06
3.0,1.64e-05,2.32334e-05,9.9084e-06
4.0,2.39167e-05,3.10917e-05,1.29834e-05
5.0,3.17751e-05,3.48501e-05,1.435e-05
6.0,3.62167e-05,4.20251e-05,1.98167e-05
7.0,4.33917e-05,5.33001e-05,2.46e-05
8.0,4.68084e-05,5.87668e-05,2.87001e-05
9.0,5.15918e-05,7.27751e-05,3.17751e-05
10.0,5.43251e-05,8.37085e-05,3.41667e-05
20.0,0.0001113835,0.000179717,6.97001e-05
30.0,0.0001619503,0.0002552255,0.0001107002
40.0,0.0002176421,0.0003508923,0.0001503336
50.0,0.0002716255,0.0004253758,0.0001875753
60.0,0.0003262923,0.0005500843,0.0002224254
70.0,0.0003703673,0.0006481428,0.0002538588
80.0,0.0004462175,0.0006929012,0.0003016922
90.0,0.0005049842,0.0007673847,0.0003235589
100.0,0.0005623843,0.0008538265,0.000364559
200.0,0.0011042687,0.0017462615,0.000735268
300.0,0.0016447863,0.0026486048,0.001112127
400.0,0.0022389457,0.0035410397,0.0014978694
500.0,0.0027388049,0.0045069331,0.0018924951
600.0,0.003316906,0.0051748926,0.002214004
700.0,0.0037720068,0.0061168693,0.002571388
800.0,0.0045305082,0.0070882294,0.0030408388
900.0,0.0050990425,0.0079762227,0.003324081
1000.0,0.0054366098,0.0087975908,0.0036531066
2000.0,0.0112107868,0.0176850402,0.0073912883
3000.0,0.0168216469,0.0261655638,0.0109951948
4000.0,0.0224567654,0.0345374372,0.0144012759
5000.0,0.0278411001,0.043537295,0.0181753327
6000.0,0.0336125438,0.0512637589,0.021691089
7000.0,0.0383019273,0.0585388804,0.0251098119
8000.0,0.0439592541,0.067935414,0.0282083924
9000.0,0.0486250625,0.0745333508,0.0320921244
10000.0,0.0541211224,0.0823452316,0.0350885465
20000.0,0.1033037859,0.1510285552,0.0654234761
30000.0,0.1479969414,0.2058340372,0.0907775801
40000.0,0.1939918492,0.2581197229,0.1168963354
50000.0,0.227196784,0.2972915351,0.1353251853
60000.0,0.2621742886,0.3336094005,0.1529295919
70000.0,0.2924347347,0.3643071808,0.1682557612
80000.0,0.3187407237,0.3885761494,0.1818800857
90000.0,0.340160529,0.4116137492,0.1926938552
100000.0,0.3598231393,0.4309931175,0.202236964
200000.0,0.4886921796,0.5302491711,0.2590476913
300000.0,0.5448961058,0.5689863825,0.2837662941
400000.0,0.5835707921,0.588336709,0.2946572804
500000.0,0.609623264,0.5973092335,0.3047648236
1000000.0,0.6776980782,0.616843377,0.326665013
2000000.0,0.7440621643,0.6218050692,0.3457901808
3000000.0,0.784995613,0.623503839,0.357594102
4000000.0,0.8194158583,0.6116992344,0.3719584779
5000000.0,0.8352634118,0.6153338909,0.3839226411
