P,q_H2S,q_CO2,q_CH4
1.0,1.1558e-06,5.779e-07,1.1558e-06
2.0,2.3116e-06,1.7337e-06,2.8895e-06
3.0,3.4674e-06,2.8895e-06,4.6232e-06
4.0,4.6232e-06,2.8895e-06,8.6684e-06
5.0,6.3568e-06,2.8895e-06,1.098e-05
6.0,7.5126e-06,4.6232e-06,1.21358e-05
7.0,7.5126e-06,5.2011e-06,1.56032e-05
8.0,8.6684e-06,5.2011e-06,1.84926e-05
9.0,1.21358e-05,5.7789e-06,1.96484e-05
10.0,1.44474e-05,6.3568e-06,2.25379e-05
20.0,3.17842e-05,1.84926e-05,5.72116e-05
30.0,5.49e-05,3.06284e-05,7.62821e-05
40.0,6.76137e-05,3.64074e-05,0.0001098
50.0,9.24631e-05,4.33421e-05,0.0001456295
60.0,0.0001167347,4.85432e-05,0.0001641221
70.0,0.0001306042,5.60558e-05,0.0001907052
80.0,0.0001502526,6.99253e-05,0.0002323136
90.0,0.0001623884,7.39705e-05,0.0002554294
100.0,0.0001849263,8.14831e-05,0.0002745
200.0,0.0003756315,0.0001716347,0.0005518894
300.0,0.0005669147,0.0002623642,0.0008263894
400.0,0.0007356599,0.0003594505,0.0011216935
500.0,0.0009003599,0.0004461347,0.0014193093
600.0,0.001085864,0.0005599799,0.0016764724
700.0,0.0012811924,0.0006715136,0.0019457713
800.0,0.0014990587,0.0007102325,0.0021699944
900.0,0.0016874524,0.0008321683,0.0024150217
1000.0,0.0018625545,0.0008841788,0.0027461554
2000.0,0.0038846078,0.0017105682,0.0054125613
3000.0,0.0057015086,0.0025681638,0.0081841441
4000.0,0.0076218526,0.0035043532,0.0110493457
5000.0,0.0094381754,0.0042717973,0.0135342927
6000.0,0.0114290225,0.005238615,0.0162885386
7000.0,0.013324517,0.0059783202,0.0190583877
8000.0,0.0151541314,0.0069717211,0.0218866041
9000.0,0.0176870437,0.0080217557,0.0245431858
10000.0,0.0191843687,0.0089458092,0.0274326591
20000.0,0.0392667858,0.0175558616,0.0547173772
30000.0,0.0598011164,0.0271460233,0.0825643867
40000.0,0.0821471468,0.0363703778,0.1104090847
50000.0,0.0997220789,0.0444464555,0.1387715763
60000.0,0.1236752343,0.0537540268,0.1686481518
70000.0,0.1451648248,0.0632823538,0.1926001515
80000.0,0.1658950617,0.0714115978,0.222954068
90000.0,0.1896465319,0.0814686985,0.2494100851
100000.0,0.2141197925,0.0905537803,0.2783626072
200000.0,0.5004209385,0.1872280428,0.5744093686
300000.0,0.8979587143,0.2935670154,0.8894099187
400000.0,1.3713977515,0.3941617153,1.2010505894
500000.0,1.8865226415,0.4718908574,1.4478526359
1000000.0,3.4566658761,0.5813776223,1.9629139575
2000000.0,4.3121400872,0.5604693938,2.1535319303
3000000.0,4.5476645197,0.5381811529,2.2536648923
4000000.0,4.6181884713,0.5270607261,2.3460008997
5000000.0,4.6630221163,0.5102717307,2.4250337722
