P,q_H2S,q_CO2,q_CH4
1.0,0.0001230002,0.0034619437,1.7083e-06
2.0,0.0002481359,0.0057019998,3.8438e-06
3.0,0.000355334,0.0100629556,9.8229e-06
4.0,0.0004744904,0.0132246592,1.32396e-05
5.0,0.0006372095,0.0168719575,1.58021e-05
6.0,0.0007674701,0.0210966734,1.49479e-05
7.0,0.0009045641,0.0260619532,2.22084e-05
8.0,0.0009976685,0.0271604135,2.43438e-05
9.0,0.0011317729,0.0302127835,2.81876e-05
10.0,0.0013145649,0.0327436839,3.67292e-05
20.0,0.0024177231,0.067803445,5.72293e-05
30.0,0.0036443086,0.0935010954,9.69481e-05
40.0,0.0051104884,0.1185811822,0.0001230002
50.0,0.0061329277,0.1396881056,0.000147344
60.0,0.0070575648,0.1734153642,0.0001789482
70.0,0.0084853069,0.2053535676,0.0001938962
80.0,0.0099681429,0.221042502,0.0002135421
90.0,0.010343977,0.2229934222,0.0002524067
100.0,0.0110960721,0.273865545,0.0002630838
200.0,0.0220264355,0.4055992092,0.0005295843
300.0,0.0296276783,0.5181576514,0.000767043
400.0,0.03889882,0.6240471754,0.0009002933
500.0,0.0444133299,0.7178831047,0.0011304916
600.0,0.0485885041,0.7984691768,0.0012654502
700.0,0.0559638195,0.8390729166,0.0014439713
800.0,0.0621774661,0.8971853962,0.0015562945
900.0,0.0683765918,0.8975287718,0.0017937532
1000.0,0.0720174838,0.950850649,0.0018864305
2000.0,0.1122270249,1.1385861432,0.0031706724
3000.0,0.1449677193,1.2361266,0.0040867678
4000.0,0.1658213818,1.2975067001,0.0048196441
5000.0,0.1908673019,1.3452730673,0.0055969372
6000.0,0.2076952697,1.3903265963,0.0062576363
7000.0,0.2247021857,1.4070772619,0.0069089395
8000.0,0.2388980342,1.4421365958,0.0074338259
9000.0,0.2615394708,1.4326587455,0.0080321707
10000.0,0.2781632924,1.4470484901,0.0087086719
20000.0,0.3552152436,1.5790102172,0.0119818445
30000.0,0.436955724,1.6060365263,0.0146818702
40000.0,0.4703682217,1.6619828353,0.0162911231
50000.0,0.4797153843,1.7070209893,0.0179144697
60000.0,0.5445040426,1.6869501719,0.0201118175
70000.0,0.5727155101,1.7094545145,0.0202920469
80000.0,0.5944216325,1.7149835453,0.0212277882
90000.0,0.632200638,1.7088480551,0.022567551
100000.0,0.6074113954,1.7518148512,0.0227119055
200000.0,0.7236466046,1.7706125309,0.0268764025
300000.0,0.7531986891,1.7968735052,0.0289648438
400000.0,0.7875405217,1.8015351282,0.0294799072
500000.0,0.7903515893,1.8052358119,0.0308572535
1000000.0,0.8500442801,1.7959232431,0.0333347683
2000000.0,0.8269339051,1.8435704538,0.0347151042
3000000.0,0.7662397021,1.9111603568,0.035166532
4000000.0,0.9098954191,1.7627866418,0.0405840939
5000000.0,0.8720818197,1.8052161661,0.0425781496
