P,q_H2S,q_CO2,q_CH4
1.0,1.5375e-05,2.2778e-06,5.694e-07
2.0,4.32779e-05,4.5556e-06,5.694e-07
3.0,5.40973e-05,9.6806e-06,2.2778e-06
4.0,5.06806e-05,1.08195e-05,1.7083e-06
5.0,7.00418e-05,1.65139e-05,1.1389e-06
6.0,0.0001093335,1.70834e-05,1.7083e-06
7.0,0.0001167363,2.44862e-05,2.8472e-06
8.0,0.0001321113,1.87917e-05,3.9861e-06
9.0,0.0001212919,2.05e-05,2.8472e-06
10.0,0.0001611531,2.44862e-05,2.8472e-06
20.0,0.0003325562,4.49862e-05,9.6806e-06
30.0,0.0005455288,7.23196e-05,1.30972e-05
40.0,0.0006451817,0.000104778,1.19584e-05
50.0,0.0008467654,0.0001190141,1.82223e-05
60.0,0.0010842242,0.0001696947,3.07501e-05
70.0,0.0011531271,0.0001668475,2.90417e-05
80.0,0.001274419,0.0002215143,3.30278e-05
90.0,0.0015864751,0.0002460004,3.30278e-05
100.0,0.0015693917,0.0002534032,4.2139e-05
200.0,0.0033546033,0.0005335704,7.91529e-05
300.0,0.0051808149,0.0007824181,0.0001178752
400.0,0.0069927904,0.001075113,0.0001497642
500.0,0.0090336829,0.0012977662,0.0001907642
600.0,0.011027881,0.0014851138,0.0002329032
700.0,0.0122931888,0.0018677811,0.0002756116
800.0,0.0140129141,0.0021052399,0.0003416673
900.0,0.0155037224,0.0023745876,0.0003428062
1000.0,0.0177148791,0.0025790185,0.0003957646
2000.0,0.0351997022,0.0051158981,0.0007818486
3000.0,0.0522124551,0.0082358898,0.0011884327
4000.0,0.0686067902,0.0110221865,0.0016160862
5000.0,0.0837927619,0.0136644135,0.0019697119
6000.0,0.1040917846,0.0158146396,0.0023449764
7000.0,0.1205703976,0.0186903392,0.0027435883
8000.0,0.1424615898,0.0209333849,0.003216228
9000.0,0.1501058257,0.0232692502,0.0035351175
10000.0,0.1714680031,0.0259388106,0.0039906738
20000.0,0.3465781794,0.0493116999,0.008082709
30000.0,0.5171760698,0.0708281969,0.012421314
40000.0,0.6893080463,0.0967112019,0.0161591541
50000.0,0.8622662882,0.1141783722,0.0203798839
60000.0,1.0416450277,0.1323060993,0.024483308
70000.0,1.1942524274,0.1523830382,0.0281288979
80000.0,1.3762420745,0.1661824102,0.0323558916
90000.0,1.4991728235,0.1837270252,0.035269744
100000.0,1.6266505946,0.1958556442,0.0386932502
200000.0,2.53827243,0.2601579961,0.0597211631
300000.0,2.8778703468,0.2931374304,0.0683078313
400000.0,3.1005326365,0.3029654898,0.0729482424
500000.0,3.2221075359,0.29874476,0.0750483573
1000000.0,3.4354212393,0.3265080738,0.0828731075
2000000.0,3.546211411,0.3279185903,0.0895498556
3000000.0,3.5645344578,0.3400973205,0.0940034887
4000000.0,3.5838500482,0.3410255166,0.0997998741
5000000.0,3.5961956259,0.3364767862,0.1050159946
