P,q_H2S,q_CO2,q_CH4
1.0,3.9008e-06,8.668e-07,4.3342e-06
2.0,9.5353e-06,1.7337e-06,9.1018e-06
3.0,1.90705e-05,1.7337e-06,9.9687e-06
4.0,2.64387e-05,4.3342e-06,1.30026e-05
5.0,2.77389e-05,4.7676e-06,1.86371e-05
6.0,3.20732e-05,3.0339e-06,2.73055e-05
7.0,3.90079e-05,2.6005e-06,2.77389e-05
8.0,3.94413e-05,6.5013e-06,3.03395e-05
9.0,4.98434e-05,6.5013e-06,3.16397e-05
10.0,6.15458e-05,6.5013e-06,3.72742e-05
20.0,0.0001148566,1.17024e-05,9.01516e-05
30.0,0.0001577652,1.30026e-05,0.00013176
40.0,0.000238815,1.82037e-05,0.0001924389
50.0,0.0002899586,2.25379e-05,0.0002375147
60.0,0.0003276663,3.8141e-05,0.000288225
70.0,0.0003848778,4.16084e-05,0.0003333007
80.0,0.0004680947,3.90079e-05,0.0003792434
90.0,0.0004997344,4.76763e-05,0.0004117499
100.0,0.0005842515,6.02455e-05,0.000455092
200.0,0.0011581009,0.000123525,0.0009604609
300.0,0.0017440861,0.0001694676,0.0014627958
400.0,0.0023079668,0.0002097758,0.0018051984
500.0,0.0028874506,0.0002617863,0.0022498884
600.0,0.0034998745,0.000351071,0.0028293722
700.0,0.0039809718,0.0003965802,0.0032532579
800.0,0.0045920954,0.0004819641,0.0036151645
900.0,0.0051941171,0.0004949668,0.0041205333
1000.0,0.0057892041,0.000606356,0.0046779127
2000.0,0.0113699328,0.001102623,0.0091248121
3000.0,0.0177446887,0.001741919,0.0140645111
4000.0,0.0234680128,0.0022685255,0.0185270136
5000.0,0.0296685335,0.0027639256,0.0235126552
6000.0,0.0346706451,0.0033698482,0.0278074238
7000.0,0.0413344928,0.0041092644,0.032858512
8000.0,0.0459053506,0.004399223,0.0366600475
9000.0,0.0534390742,0.0051087332,0.0421423895
10000.0,0.0588763405,0.0056843163,0.0471856762
20000.0,0.1209877352,0.0113408936,0.0950076143
30000.0,0.1894504811,0.0155719493,0.143276843
40000.0,0.247743437,0.0193574482,0.1872179296
50000.0,0.3155798895,0.0241679877,0.2325407624
60000.0,0.3931076354,0.0287093729,0.2805087634
70000.0,0.4725433005,0.0320228763,0.3298923174
80000.0,0.5436026715,0.0343360441,0.3740102398
90000.0,0.6213237232,0.0362734359,0.420304369
100000.0,0.7176567389,0.0395973415,0.4658317765
200000.0,1.4601155604,0.044323364,0.8177059062
300000.0,1.8925704534,0.0392332679,0.9847212167
400000.0,2.1508451536,0.0342931354,1.0670868076
500000.0,2.2986395435,0.0307598875,1.1122791807
1000000.0,2.5838132171,0.0208332466,1.2100910288
2000000.0,2.6798640757,0.0149534575,1.2886988598
3000000.0,2.6837856688,0.0128556999,1.3432188859
4000000.0,2.6464607536,0.012910311,1.4038107067
5000000.0,2.6074676009,0.0117262048,1.4596730376
