P,q_H2S,q_CO2,q_CH4
1.0,1.7337e-06,0.0,2.3116e-06
2.0,3.4674e-06,0.0,5.2011e-06
3.0,5.7789e-06,1.1558e-06,5.7789e-06
4.0,4.6232e-06,1.1558e-06,9.2463e-06
5.0,1.098e-05,5.779e-07,1.21358e-05
6.0,9.8242e-06,0.0,1.73368e-05
7.0,8.0905e-06,4.6232e-06,1.90705e-05
8.0,9.2463e-06,4.0453e-06,2.196e-05
9.0,1.56032e-05,2.3116e-06,2.42716e-05
10.0,2.196e-05,1.7337e-06,2.60053e-05
20.0,3.46737e-05,2.3116e-06,4.96989e-05
30.0,5.37442e-05,5.2011e-06,6.47242e-05
40.0,6.87695e-05,1.15579e-05,0.0001051768
50.0,9.24631e-05,1.32916e-05,0.0001144231
60.0,9.65084e-05,1.67589e-05,0.0001352273
70.0,0.0001063326,1.38695e-05,0.0001797252
80.0,0.0001386947,1.84926e-05,0.0001883937
90.0,0.0001560316,1.96484e-05,0.0002063084
100.0,0.000169901,1.67589e-05,0.0002236452
200.0,0.0003473147,5.20105e-05,0.0004877431
300.0,0.0005172157,5.95231e-05,0.0006813378
400.0,0.0006507094,9.18852e-05,0.0008841788
500.0,0.0009148072,0.0001063326,0.001184684
600.0,0.0010743062,0.0001225137,0.0014343345
700.0,0.0012187798,0.0001450516,0.0016256177
800.0,0.0014435808,0.0001658558,0.0019602187
900.0,0.0016048134,0.0001999515,0.0021451449
1000.0,0.0018359713,0.0002005294,0.0024202228
2000.0,0.0034743026,0.0004212852,0.0047404698
3000.0,0.0051767803,0.0006154578,0.0071485568
4000.0,0.0071052147,0.0007853588,0.0095745586
5000.0,0.0089608345,0.0010355872,0.0118797803
6000.0,0.0106280605,0.0012996851,0.0144126926
7000.0,0.0126651392,0.0014655408,0.016824247
8000.0,0.0144450547,0.0016319745,0.0191693435
9000.0,0.0163804239,0.0018521524,0.0219449715
10000.0,0.0176119174,0.0020382344,0.0235133776
20000.0,0.0363622872,0.0041388815,0.0480380708
30000.0,0.0543209414,0.005973697,0.0703500054
40000.0,0.0737156638,0.0079865041,0.0966257194
50000.0,0.094159265,0.0095271712,0.122470324
60000.0,0.1096693795,0.0114064846,0.1404359129
70000.0,0.1315033952,0.0133112254,0.168844636
80000.0,0.1499330336,0.0145646789,0.1901510339
90000.0,0.1687146097,0.0162521313,0.2119474865
100000.0,0.1855353893,0.0175500827,0.2335896412
200000.0,0.3692989537,0.0287548821,0.433719182
300000.0,0.5278171902,0.0340732465,0.5994114027
400000.0,0.6688044146,0.0377278523,0.7378605138
500000.0,0.7760454808,0.0394823405,0.8279392647
1000000.0,1.0453940872,0.0374152113,1.0841384562
2000000.0,1.1822066006,0.0343749075,1.2432785073
3000000.0,1.2052744214,0.0333907529,1.3059043728
4000000.0,1.2023439176,0.0332318319,1.3620046518
5000000.0,1.182467809,0.0317564669,1.4113776592
