P,q_H2S,q_CO2,q_CH4
1.0,1.60366e-05,1.3003e-06,5.2011e-06
2.0,2.86058e-05,1.3003e-06,9.9687e-06
3.0,4.03082e-05,1.7337e-06,1.25692e-05
4.0,4.6376e-05,0.0,1.647e-05
5.0,6.89139e-05,4.7676e-06,1.86371e-05
6.0,6.76137e-05,5.6345e-06,2.25379e-05
7.0,0.0001083552,4.3342e-06,2.38382e-05
8.0,9.79531e-05,7.8016e-06,2.77389e-05
9.0,0.0001113892,6.5013e-06,3.03395e-05
10.0,0.00011529,9.1018e-06,3.8141e-05
20.0,0.0002596192,1.38695e-05,8.40837e-05
30.0,0.0003870449,2.55718e-05,0.0001109558
40.0,0.0005040686,3.98747e-05,0.0001477966
50.0,0.0006366954,4.89766e-05,0.0001915721
60.0,0.000751552,6.24126e-05,0.0002167105
70.0,0.0009067167,5.67781e-05,0.0002617863
80.0,0.0010358762,5.67781e-05,0.0003120631
90.0,0.0011875735,7.71489e-05,0.0003272328
100.0,0.0013045972,7.80158e-05,0.0003965802
200.0,0.0027119151,0.0001785694,0.0007671551
300.0,0.0040702565,0.0002557184,0.001160268
400.0,0.0053553497,0.0002925592,0.0015135061
500.0,0.0067986416,0.0003792434,0.0019460602
600.0,0.0085258243,0.0004659276,0.0023651783
700.0,0.0093103163,0.0005777502,0.0026668393
800.0,0.0111280839,0.0006496981,0.0031726416
900.0,0.0122723153,0.0007381159,0.0035631539
1000.0,0.0137424793,0.0008083301,0.0038856192
2000.0,0.0272049686,0.0016075584,0.0078856615
3000.0,0.0403120527,0.0024427607,0.0114670191
4000.0,0.056561439,0.0031687408,0.0157578869
5000.0,0.0710363997,0.0040442512,0.0193093385
6000.0,0.0825944372,0.0047138867,0.0230423934
7000.0,0.0972384322,0.0056223371,0.0274520186
8000.0,0.1115183535,0.0062594659,0.0319192887
9000.0,0.128037761,0.0068255137,0.0353238106
10000.0,0.1406919202,0.0079398391,0.0388449227
20000.0,0.3075789381,0.0138330643,0.0777600595
30000.0,0.485311016,0.0190614216,0.1156068137
40000.0,0.6780940711,0.0235087544,0.1498674425
50000.0,0.8637005415,0.0268036208,0.1791827379
60000.0,1.029977736,0.0281910013,0.2026394818
70000.0,1.1989170023,0.0293985122,0.2278780194
80000.0,1.2981678081,0.0301461634,0.2411957461
90000.0,1.4297895273,0.0305119707,0.2543383707
100000.0,1.5287685782,0.0295580111,0.2665933492
200000.0,1.9905097274,0.0286599629,0.3099709885
300000.0,2.141895877,0.0273094231,0.3199591752
400000.0,2.215843999,0.0260529356,0.3265783805
500000.0,2.2561118427,0.0253291226,0.3306932794
1000000.0,2.3305974067,0.0245979414,0.3377164331
2000000.0,2.3558987903,0.0238186504,0.3519716494
3000000.0,2.3467882811,0.0245637011,0.3725439766
4000000.0,2.3394209912,0.0242451367,0.3865508427
5000000.0,2.3238564101,0.0239343738,0.4064860411
