P,q_H2S,q_CO2,q_CH4
1.0,1.1665e-06,3.4995e-06,1.7498e-06
2.0,1.1665e-06,2.333e-06,1.7498e-06
3.0,5.2493e-06,6.999e-06,1.7498e-06
4.0,9.332e-06,1.39981e-05,7.5823e-06
5.0,7.5823e-06,1.86641e-05,6.4158e-06
6.0,6.999e-06,1.45813e-05,8.7488e-06
7.0,1.34148e-05,1.63311e-05,4.666e-06
8.0,2.04139e-05,2.62464e-05,1.45813e-05
9.0,2.27469e-05,2.39134e-05,1.22483e-05
10.0,2.09971e-05,3.03292e-05,1.16651e-05
20.0,4.31607e-05,6.82406e-05,2.21636e-05
30.0,6.64909e-05,9.33205e-05,4.72435e-05
40.0,6.70741e-05,0.0001306487,5.19095e-05
50.0,9.85698e-05,0.0001621444,4.95765e-05
60.0,0.0001073186,0.0001848912,8.04889e-05
70.0,0.0001417305,0.0002064716,9.2154e-05
80.0,0.000140564,0.0002362175,8.51549e-05
90.0,0.0001592281,0.0002916265,0.0001073186
100.0,0.0001808085,0.0003447026,0.000138231
200.0,0.0003581174,0.0006019172,0.0002455495
300.0,0.0005727545,0.0009600346,0.0003680327
400.0,0.0007763098,0.0012994879,0.0004887661
500.0,0.0009792819,0.001601613,0.0005809201
600.0,0.0012055841,0.0018979055,0.0007156515
700.0,0.0013210682,0.0022496071,0.0008760461
800.0,0.001516458,0.0025219863,0.0010107776
900.0,0.0016780191,0.0029460113,0.001046356
1000.0,0.0020227217,0.0030620787,0.001191586
2000.0,0.0039229602,0.0062408079,0.0025021557
3000.0,0.0059176857,0.0097146633,0.0036604963
4000.0,0.0079252428,0.0130077101,0.0047622614
5000.0,0.0100844457,0.0158102412,0.0061883152
6000.0,0.011507,0.0192409358,0.0073239089
7000.0,0.0137297774,0.0227946968,0.0084799165
8000.0,0.0162138523,0.0263402922,0.0098336469
9000.0,0.0175629167,0.0286178955,0.0108374254
10000.0,0.0202843755,0.0324364534,0.0122022376
20000.0,0.0402946221,0.0636731552,0.0244552183
30000.0,0.0611925799,0.0966992775,0.0363757447
40000.0,0.0819727206,0.1280211343,0.048319018
50000.0,0.1036469882,0.1628541746,0.0607843027
60000.0,0.1238497083,0.1907085918,0.0726494201
70000.0,0.1471308381,0.222957821,0.0854401601
80000.0,0.1636818107,0.2524185172,0.095515857
90000.0,0.187325724,0.2832796041,0.1058808475
100000.0,0.2103245593,0.3161523308,0.1185351062
200000.0,0.4253268084,0.5976425144,0.2267256359
300000.0,0.6317418223,0.8600049133,0.3159960189
400000.0,0.7958511575,1.060818948,0.3813110316
500000.0,0.9176507313,1.2013811899,0.4272509603
1000000.0,1.2440204894,1.5343002969,0.5463798181
2000000.0,1.4084331163,1.7153992111,0.6187055328
3000000.0,1.4568705346,1.7659678362,0.6622646224
4000000.0,1.4463498156,1.813037526,0.6922070856
5000000.0,1.4578964768,1.8072207431,0.7262084071
