P,q_H2S,q_CO2,q_CH4
1.0,2.0226e-06,0.0,8.668e-07
2.0,2.8895e-06,1.7337e-06,3.1784e-06
3.0,3.1784e-06,3.4674e-06,2.6005e-06
4.0,6.9347e-06,3.4674e-06,6.6458e-06
5.0,1.15579e-05,2.3116e-06,1.35805e-05
6.0,1.24247e-05,4.3342e-06,1.41584e-05
7.0,1.24247e-05,2.8895e-06,1.24247e-05
8.0,1.38695e-05,3.4674e-06,1.76258e-05
9.0,1.90705e-05,5.7789e-06,1.79147e-05
10.0,1.93595e-05,3.1784e-06,1.67589e-05
20.0,2.77389e-05,1.04021e-05,3.55405e-05
30.0,5.63447e-05,2.08042e-05,6.09679e-05
40.0,6.79026e-05,2.45605e-05,7.77268e-05
50.0,9.39079e-05,2.7161e-05,0.0001051768
60.0,0.000104021,2.77389e-05,0.0001236695
70.0,0.0001386947,3.69853e-05,0.000142451
80.0,0.0001496747,4.82542e-05,0.00015921
90.0,0.0001710568,5.20105e-05,0.0001855042
100.0,0.0001817479,6.21237e-05,0.000191861
200.0,0.0003669631,0.000120491,0.0003548273
300.0,0.0005397536,0.0001681673,0.0005842515
400.0,0.0007327704,0.0002198889,0.000773223
500.0,0.0008966036,0.0002713215,0.0009682625
600.0,0.0011029119,0.0003106184,0.0011867067
700.0,0.0012907277,0.0003889231,0.0013594972
800.0,0.0015221745,0.0004285089,0.0015805419
900.0,0.0016851408,0.0005079694,0.0017955187
1000.0,0.0018426171,0.0005504447,0.0019787113
2000.0,0.0037308879,0.0011176483,0.0040744462
3000.0,0.0056520986,0.0016490224,0.0059673402
4000.0,0.0072205047,0.0022847065,0.0077068031
5000.0,0.0091032855,0.0027282406,0.0097045849
6000.0,0.011036921,0.0032697279,0.0117491762
7000.0,0.0123247592,0.0037586268,0.0132213628
8000.0,0.0146276694,0.0043396999,0.0156436082
9000.0,0.0163521071,0.0049791403,0.0176359
10000.0,0.0181288442,0.0054876876,0.0193707398
20000.0,0.035156799,0.0106124574,0.0374764681
30000.0,0.0502187562,0.0154260309,0.0545356293
40000.0,0.0688018256,0.0197189213,0.0721900219
50000.0,0.0841365491,0.0237740081,0.0891414057
60000.0,0.0987217433,0.0276357891,0.1043562161
70000.0,0.1133268748,0.0309445249,0.1185360172
80000.0,0.125882214,0.0335540082,0.1322436783
90000.0,0.1334312518,0.0363859809,0.1424409184
100000.0,0.1480470744,0.0392410694,0.1573179493
200000.0,0.2605287782,0.0610262531,0.2651357544
300000.0,0.344025309,0.0723232266,0.3471421838
400000.0,0.4161910594,0.0758423161,0.4131793614
500000.0,0.4779989149,0.0773335733,0.465722121
1000000.0,0.6443996345,0.0757692125,0.6237332549
2000000.0,0.7848543289,0.0620424808,0.7623074802
3000000.0,0.8340730385,0.0559092849,0.8360144756
4000000.0,0.8506453234,0.0500757273,0.892228022
5000000.0,0.8483822879,0.047181053,0.9376485189
