P,q_H2S,q_CO2,q_CH4
1.0,1.3315e-06,0.0,3.1068e-06
2.0,4.4382e-06,4.438e-07,9.7641e-06
3.0,7.9888e-06,1.7753e-06,9.7641e-06
4.0,5.7697e-06,4.438e-07,1.19832e-05
5.0,1.06518e-05,1.3315e-06,1.55338e-05
6.0,1.15394e-05,4.438e-07,2.21912e-05
7.0,1.15394e-05,2.2191e-06,2.70732e-05
8.0,1.73091e-05,1.7753e-06,3.55058e-05
9.0,2.39664e-05,1.3315e-06,3.15114e-05
10.0,1.81967e-05,1.7753e-06,3.10676e-05
20.0,4.97082e-05,4.4382e-06,6.83488e-05
30.0,6.34667e-05,4.4382e-06,0.0001122872
40.0,8.43264e-05,7.1012e-06,0.000142911
50.0,0.0001136187,8.8765e-06,0.0002046024
60.0,0.0001207199,6.6573e-06,0.0002467656
70.0,0.0001477931,9.3203e-06,0.0002432151
80.0,0.0001713157,1.59776e-05,0.0003439629
90.0,0.0001832989,2.04159e-05,0.0003652664
100.0,0.0002245745,2.57417e-05,0.0003723676
200.0,0.0004131993,4.08317e-05,0.0007340834
300.0,0.0006257906,7.36746e-05,0.0011721368
400.0,0.0008459268,8.5214e-05,0.0015635888
500.0,0.0010926925,0.0001180569,0.0019040011
600.0,0.0012733285,0.0001322593,0.0023185318
700.0,0.00151033,0.0001358099,0.0026252136
800.0,0.0017810621,0.0001690966,0.0030592726
900.0,0.0019381754,0.0001926192,0.0034764663
1000.0,0.0021534296,0.0002223554,0.0037467545
2000.0,0.0042340723,0.0003985531,0.0077176397
3000.0,0.0065135477,0.0006741673,0.0117697446
4000.0,0.0086931629,0.0008073142,0.0154907574
5000.0,0.0109792957,0.0010274505,0.0190147127
6000.0,0.0133351086,0.0012484744,0.0233135832
7000.0,0.0154960833,0.001467723,0.02716508
8000.0,0.017456006,0.0016776513,0.0307613785
9000.0,0.0196280762,0.0018103544,0.0347651066
10000.0,0.0222697113,0.0020628897,0.0386747442
20000.0,0.0450835497,0.0041493021,0.0789596787
30000.0,0.0694436678,0.006196658,0.1186059517
40000.0,0.0938983201,0.008276413,0.1582921687
50000.0,0.1209724164,0.0104032133,0.2020029736
60000.0,0.1462503606,0.0124288219,0.2435501409
70000.0,0.1721106007,0.0144047223,0.2835017642
80000.0,0.1972398642,0.0160757162,0.3245647205
90000.0,0.2296274105,0.0185003218,0.3680540577
100000.0,0.2617238089,0.019841999,0.4170885205
200000.0,0.6658620154,0.0386632048,0.941299514
300000.0,1.2217539889,0.0499505137,1.5124305972
