P,q
1.0,2.08042e-05
2.0,4.77726e-05
3.0,6.85768e-05
4.0,9.16926e-05
5.0,0.0001209726
6.0,0.0001340716
7.0,0.0001602694
8.0,0.0001887789
9.0,0.0002142063
10.0,0.0002419452
20.0,0.0004838905
30.0,0.0007227536
40.0,0.0009485178
50.0,0.0011850693
60.0,0.0014247029
70.0,0.0017213555
80.0,0.0019771702
90.0,0.0020996839
100.0,0.0025211617
200.0,0.0048142477
300.0,0.0072598979
400.0,0.0098111101
500.0,0.0118129372
600.0,0.0146292105
700.0,0.0169415596
800.0,0.0195544139
900.0,0.0219592262
1000.0,0.0242068511
2000.0,0.0490470748
3000.0,0.0730967386
4000.0,0.0990665537
5000.0,0.1333195255
6000.0,0.1599543047
7000.0,0.1915535842
8000.0,0.2202402747
9000.0,0.2421024146
10000.0,0.2683280444
20000.0,0.6596320707
30000.0,1.1960785764
40000.0,2.3079201464
50000.0,3.5485813688
60000.0,4.3638674374
70000.0,4.9420279202
80000.0,5.2189396265
90000.0,5.3847090925
100000.0,5.4836138357
200000.0,5.9339386279
300000.0,6.0473739542
400000.0,6.1001442117
500000.0,6.1278900897
1000000.0,6.18231929
2000000.0,6.2123998624
3000000.0,6.2108241363
4000000.0,6.2105698627
5000000.0,6.2131511255
