P,q
1.0,0.0001653656
2.0,0.0003430311
3.0,0.0005042968
4.0,0.0006980205
5.0,0.0008606528
6.0,0.00104276
7.0,0.0011801091
8.0,0.0014199576
9.0,0.001612998
10.0,0.0017790469
20.0,0.0034063949
30.0,0.0053128827
40.0,0.0070751881
50.0,0.0086430864
60.0,0.0106332819
70.0,0.0123197378
80.0,0.0140960515
90.0,0.0156547248
100.0,0.0171245654
200.0,0.0344414879
300.0,0.0514478374
400.0,0.0672197531
500.0,0.0834566742
600.0,0.0998668192
700.0,0.1157518259
800.0,0.1294689714
900.0,0.1460851401
1000.0,0.1600944087
2000.0,0.294739597
3000.0,0.4060026349
4000.0,0.5005521298
5000.0,0.5925039496
6000.0,0.6632551468
7000.0,0.7141344545
8000.0,0.7855358392
9000.0,0.8283036905
10000.0,0.8720128275
20000.0,1.1455914349
30000.0,1.2763283232
40000.0,1.3540276092
50000.0,1.4017355872
60000.0,1.4417940392
70000.0,1.4690544231
80000.0,1.4939856802
90000.0,1.5095696804
100000.0,1.5269187194
200000.0,1.6006564058
300000.0,1.6351440184
400000.0,1.6506873606
500000.0,1.6744733584
1000000.0,1.7202181323
2000000.0,1.7565900245
3000000.0,1.7961093299
4000000.0,1.8086316748
5000000.0,1.8218769817
