P,q
1.0,0.0001035243
2.0,0.0002231069
3.0,0.0003361978
4.0,0.0004499721
5.0,0.0005599881
6.0,0.0006662457
7.0,0.0007813867
8.0,0.0008722694
9.0,0.0009283024
10.0,0.0010475433
20.0,0.0022754854
30.0,0.0032557208
40.0,0.0044378799
50.0,0.0056258473
60.0,0.0064984584
70.0,0.0075760682
80.0,0.0086342031
90.0,0.0097818541
100.0,0.0109517132
200.0,0.0219697094
300.0,0.0326422828
400.0,0.0448212548
500.0,0.054631467
600.0,0.0672508446
700.0,0.076824625
800.0,0.0901970311
900.0,0.1037286528
1000.0,0.114267977
2000.0,0.2267832153
3000.0,0.3367093201
4000.0,0.4305013448
5000.0,0.5408200221
6000.0,0.6454352942
7000.0,0.7359254734
8000.0,0.8034821077
9000.0,0.8802817912
10000.0,0.939899168
20000.0,1.2985624809
30000.0,1.4547178398
40000.0,1.5349550096
50000.0,1.5984864947
60000.0,1.646357105
70000.0,1.6911329184
80000.0,1.7222568442
90000.0,1.7543100974
100000.0,1.7807313533
200000.0,1.9623103079
300000.0,2.1040997004
400000.0,2.2231038305
500000.0,2.2725423391
1000000.0,2.5162956874
2000000.0,2.7243030728
3000000.0,2.7598648785
4000000.0,2.7569166557
5000000.0,2.7507988116
