P,q
1.0,5.125e-06
2.0,9.2249e-06
3.0,1.22999e-05
4.0,1.63999e-05
5.0,2.11832e-05
6.0,2.66498e-05
7.0,3.55331e-05
8.0,3.04081e-05
9.0,4.61247e-05
10.0,4.03164e-05
20.0,7.68745e-05
30.0,0.0001178742
40.0,0.0001708322
50.0,0.0002094403
60.0,0.0002538567
70.0,0.0003030564
80.0,0.0003320979
90.0,0.000365581
100.0,0.0004209306
200.0,0.0008213614
300.0,0.0012258922
400.0,0.0016529728
500.0,0.0020725367
600.0,0.0024220595
700.0,0.0028159986
800.0,0.0033185871
900.0,0.0037617259
1000.0,0.0041635234
2000.0,0.0083407133
3000.0,0.0123433127
4000.0,0.0163674369
5000.0,0.0201746042
6000.0,0.0242974695
7000.0,0.0285771588
8000.0,0.0324311341
9000.0,0.0363155176
10000.0,0.0407376809
20000.0,0.0800458377
30000.0,0.1177116133
40000.0,0.1570641865
50000.0,0.1878344895
60000.0,0.2240738159
70000.0,0.2563307012
80000.0,0.2900007107
90000.0,0.3183762874
100000.0,0.3419244867
200000.0,0.5818416262
300000.0,0.7673247808
400000.0,0.8961544979
500000.0,0.9893007768
1000000.0,1.250675129
2000000.0,1.4235542809
3000000.0,1.4985667175
4000000.0,1.5379001574
5000000.0,1.5623834924
