P,q
1.0,1.56032e-05
2.0,2.7161e-05
3.0,4.9121e-05
4.0,6.93474e-05
5.0,8.66842e-05
6.0,0.0001126895
7.0,0.0001271368
8.0,0.0001433179
9.0,0.0001606547
10.0,0.00017568
20.0,0.0003265105
30.0,0.0005160599
40.0,0.0007044536
50.0,0.0008847567
60.0,0.0010899093
70.0,0.001239584
80.0,0.0014054398
90.0,0.0015279535
100.0,0.0017036334
200.0,0.0034546542
300.0,0.0052172329
400.0,0.0068029758
500.0,0.0084690461
600.0,0.0105633363
700.0,0.0119733993
800.0,0.0139128137
900.0,0.0156037335
1000.0,0.0172507332
2000.0,0.0358520063
3000.0,0.0517227271
4000.0,0.0700893749
5000.0,0.0877116944
6000.0,0.1048682308
7000.0,0.1241225248
8000.0,0.1413645896
9000.0,0.1590562564
10000.0,0.1769611664
20000.0,0.3525140035
30000.0,0.525958681
40000.0,0.6983319418
50000.0,0.8740829968
60000.0,1.0739461282
70000.0,1.2596277249
80000.0,1.4365224334
90000.0,1.6017615847
100000.0,1.8077272837
200000.0,3.3063982415
300000.0,4.2570655712
400000.0,4.8373775557
500000.0,5.2400262318
1000000.0,6.2572254168
2000000.0,6.9519443612
3000000.0,7.2374665052
4000000.0,7.4518116766
5000000.0,7.5181447363
