P,q
1.0,2.60053e-05
2.0,7.80158e-05
3.0,0.000115001
4.0,0.0001514084
5.0,0.0001895494
6.0,0.0002143989
7.0,0.0002536958
8.0,0.0003062842
9.0,0.0003536715
10.0,0.0003808326
20.0,0.0007489515
30.0,0.0011702367
40.0,0.0014453145
50.0,0.0018822029
60.0,0.0021769292
70.0,0.0025317565
80.0,0.0029437954
90.0,0.0032229185
100.0,0.0037950342
200.0,0.0075663747
300.0,0.0114873899
400.0,0.014986542
500.0,0.0187203193
600.0,0.0223130904
700.0,0.0262144572
800.0,0.0300932861
900.0,0.0344043802
1000.0,0.0378382302
2000.0,0.0760538256
3000.0,0.1132586832
4000.0,0.1591753027
5000.0,0.2027173531
6000.0,0.2438362912
7000.0,0.2853100567
8000.0,0.3429955007
9000.0,0.3939207332
10000.0,0.443225549
20000.0,1.0961661775
30000.0,2.296574148
40000.0,4.5548627754
50000.0,5.8769984753
60000.0,6.5040395992
70000.0,6.8178704906
80000.0,7.0586208244
90000.0,7.2074951549
100000.0,7.3270927646
200000.0,7.8040714065
300000.0,7.9763828326
400000.0,8.0452430255
500000.0,8.0970923115
1000000.0,8.2295232277
2000000.0,8.2990734268
3000000.0,8.2884008684
4000000.0,8.2977055502
5000000.0,8.2952587442
