P,q
1.0,0.0650875105
2.0,0.112439645
3.0,0.1786875335
4.0,0.2196898336
5.0,0.2548129421
6.0,0.2926488666
7.0,0.3530542925
8.0,0.3968133979
9.0,0.4453938161
10.0,0.4374326067
20.0,0.6210409628
30.0,0.7927128433
40.0,0.8904664677
50.0,0.9689775485
60.0,1.0228798182
70.0,1.0815000471
80.0,1.1101917489
90.0,1.1531398282
100.0,1.1931103016
200.0,1.3928751168
300.0,1.4982256509
400.0,1.5671389495
500.0,1.613495559
600.0,1.6423555306
700.0,1.6769221531
800.0,1.7277699423
900.0,1.727476965
1000.0,1.7798575464
2000.0,1.9243624028
3000.0,2.0391172517
4000.0,2.0844894405
5000.0,2.1617880396
6000.0,2.2028834432
7000.0,2.2342900964
8000.0,2.2379326668
9000.0,2.275475187
10000.0,2.2997034694
20000.0,2.4492363457
30000.0,2.5173949928
40000.0,2.5772998803
50000.0,2.5810188981
60000.0,2.620785227
70000.0,2.6262411816
80000.0,2.6267430013
90000.0,2.6381161577
100000.0,2.6448845311
200000.0,2.6945202655
300000.0,2.7008188502
400000.0,2.710344883
500000.0,2.7129577621
1000000.0,2.7233994557
2000000.0,2.7263539993
3000000.0,2.7303062031
4000000.0,2.7313956857
5000000.0,2.7318650473
